n,Fn
0.0,5.754887502163468
1.0,4.758469530697246
2.0,3.585025229219596
3.0,7.156750464523789
4.0,4.861391668946407
5.0,7.619893131937943
6.0,4.799881581732771
7.0,7.348874174862303
8.0,4.385085218228676
9.0,6.707589796910391
