ngram,Frequency,Probability
राजा,392,0.008166666666666666
रामं,266,0.005541666666666667
रामो,240,0.005
वचनं,191,0.0039791666666666664
सीता,337,0.007020833333333333
चापि,136,0.0028333333333333335
रामे,192,0.004
ामेण,120,0.0025
ीतां,117,0.0024375
महात,135,0.0028125
हाते,134,0.0027916666666666667
ातेज,134,0.0027916666666666667
तेजा,128,0.0026666666666666666
रामः,102,0.002125
तेषा,107,0.0022291666666666666
ेषां,111,0.0023125
देवि,94,0.001958333333333333
लोके,132,0.00275
भूमौ,84,0.00175
पुनः,81,0.0016875
वैदे,189,0.0039375
ैदेह,189,0.0039375
देही,153,0.0031875
ेहीं,75,0.0015625
नूनं,73,0.0015208333333333332
पिता,83,0.0017291666666666666
कृतं,93,0.0019375
जगाम,88,0.0018333333333333333
देवी,89,0.0018541666666666667
भरतं,62,0.0012916666666666667
वाली,62,0.0012916666666666667
महाब,126,0.002625
हाबा,112,0.0023333333333333335
ाबाह,110,0.0022916666666666667
बाहो,62,0.0012916666666666667
विना,93,0.0019375
सहसा,55,0.0011458333333333333
काले,87,0.0018125
पितर,67,0.0013958333333333333
ितरं,56,0.0011666666666666668
महता,57,0.0011875
कैके,98,0.0020416666666666665
ैकेय,98,0.0020416666666666665
केयी,75,0.0015625
सीतय,52,0.0010833333333333333
ीतया,55,0.0011458333333333333
पुरी,80,0.0016666666666666668
ुरीं,53,0.0011041666666666667
बभूव,65,0.0013541666666666667
कुरु,74,0.0015416666666666667
रावण,152,0.0031666666666666666
ावणं,50,0.0010416666666666667
उवाच,51,0.0010625
भरतो,50,0.0010416666666666667
तथैव,52,0.0010833333333333333
रूपं,61,0.0012708333333333332
पुरा,61,0.0012708333333333332
राघव,204,0.00425
ाघवं,47,0.0009791666666666666
कामं,54,0.001125
परमं,44,0.0009166666666666666
सुखं,52,0.0010833333333333333
दुःख,171,0.0035625
ुःखं,45,0.0009375
माता,47,0.0009791666666666666
ाजान,63,0.0013125
जानं,45,0.0009375
साधु,47,0.0009791666666666666
तपसा,44,0.0009166666666666666
घोरं,48,0.001
सीते,53,0.0011041666666666667
मनसा,44,0.0009166666666666666
भवति,40,0.0008333333333333334
वापि,43,0.0008958333333333333
दशरथ,89,0.0018541666666666667
शरथो,39,0.0008125
रामा,59,0.0012291666666666666
ामाय,43,0.0008958333333333333
वाचा,38,0.0007916666666666666
पापं,37,0.0007708333333333333
देशं,39,0.0008125
तानि,121,0.0025208333333333333
भूता,64,0.0013333333333333333
ूतान,63,0.0013125
सततं,34,0.0007083333333333334
जीवि,50,0.0010416666666666667
ीवित,49,0.0010208333333333332
वितं,37,0.0007708333333333333
ाघवो,39,0.0008125
ोकेष,34,0.0007083333333333334
केषु,40,0.0008333333333333334
ावणो,34,0.0007083333333333334
चकार,36,0.00075
भरतः,32,0.0006666666666666666
ावणे,39,0.0008125
वणेन,36,0.00075
वेगे,41,0.0008541666666666667
ेगेन,40,0.0008333333333333334
वीरौ,32,0.0006666666666666666
यानि,45,0.0009375
देहि,35,0.0007291666666666667
मैथि,62,0.0012916666666666667
ैथिल,62,0.0012916666666666667
थिली,57,0.0011875
िलीं,29,0.0006041666666666667
समरे,30,0.000625
अथवा,32,0.0006666666666666666
ुःखे,37,0.0007708333333333333
ःखेन,29,0.0006041666666666667
वीरो,31,0.0006458333333333333
मातर,32,0.0006666666666666666
ातरं,29,0.0006041666666666667
विवि,69,0.0014375
िविध,66,0.001375
विधा,73,0.0015208333333333332
िधान,38,0.0007916666666666666
धानि,29,0.0006041666666666667
शोके,33,0.0006875
ोकेन,30,0.000625
ीताय,50,0.0010416666666666667
ताया,61,0.0012708333333333332
शोकं,28,0.0005833333333333334
परुष,38,0.0007916666666666666
रुषं,50,0.0010416666666666667
करुण,36,0.00075
रुणं,43,0.0008958333333333333
दिशं,26,0.0005416666666666666
हृदय,45,0.0009375
ृदयं,26,0.0005416666666666666
भुवि,27,0.0005625
कुशल,54,0.001125
ुशलं,27,0.0005625
जाना,73,0.0015208333333333332
ानाम,52,0.0010833333333333333
नामि,41,0.0008541666666666667
पपात,38,0.0007916666666666666
वीरः,24,0.0005
शिरस,27,0.0005625
िरसा,25,0.0005208333333333333
गतिं,26,0.0005416666666666666
ाघवः,24,0.0005
भूयः,24,0.0005
नदीं,24,0.0005
तासा,26,0.0005416666666666666
ासां,33,0.0006875
नाहं,26,0.0005416666666666666
भूयो,28,0.0005833333333333334
महार,62,0.0012916666666666667
हारा,64,0.0013333333333333333
ाराज,75,0.0015625
वनान,32,0.0006666666666666666
नानि,77,0.0016041666666666667
तेषु,44,0.0009166666666666666
सदृश,47,0.0009791666666666666
दृशं,37,0.0007708333333333333
जनपद,27,0.0005625
नपदे,22,0.0004583333333333333
तमुव,25,0.0005208333333333333
मुवा,50,0.0010416666666666667
ुवाच,58,0.0012083333333333334
पादौ,22,0.0004583333333333333
शृणु,24,0.0005
गृहं,28,0.0005833333333333334
भारत,23,0.00047916666666666664
सोऽह,25,0.0005208333333333333
ोऽहं,54,0.001125
ताना,59,0.0012291666666666666
ानां,197,0.0041041666666666666
हितं,49,0.0010208333333333332
केयि,22,0.0004583333333333333
नारा,27,0.0005625
राजक,25,0.0005208333333333333
ाजके,21,0.0004375
फलान,26,0.0005416666666666666
लानि,53,0.0011041666666666667
कृते,33,0.0006875
भृशं,24,0.0005
वालि,53,0.0011041666666666667
ालिन,49,0.0010208333333333332
लिनं,22,0.0004583333333333333
दिशो,23,0.00047916666666666664
पतित,72,0.0015
तितं,30,0.000625
दीना,51,0.0010625
बहवो,21,0.0004375
शरणं,21,0.0004375
बहुध,21,0.0004375
हुधा,21,0.0004375
बाहु,49,0.0010208333333333332
ाहुः,23,0.00047916666666666664
ेवीं,20,0.0004166666666666667
चरणौ,20,0.0004166666666666667
पुनर,35,0.0007291666666666667
ुनरे,25,0.0005208333333333333
नरेव,25,0.0005208333333333333
भवता,24,0.0005
ेयीं,20,0.0004166666666666667
कृता,55,0.0011458333333333333
हरयो,21,0.0004375
चिरं,29,0.0006041666666666667
वनेष,27,0.0005625
नेषु,41,0.0008541666666666667
कुले,26,0.0005416666666666666
हृता,30,0.000625
भवनं,23,0.00047916666666666664
रूपे,37,0.0007708333333333333
ूपेण,33,0.0006875
कालं,27,0.0005625
ततोऽ,21,0.0004375
तोऽह,29,0.0006041666666666667
भरते,34,0.0007083333333333334
रतेन,19,0.0003958333333333333
देशे,31,0.0006458333333333333
सेना,32,0.0006666666666666666
भवतु,18,0.000375
बाहू,23,0.00047916666666666664
लेभे,18,0.000375
याति,24,0.0005
निहत,65,0.0013541666666666667
िहतं,24,0.0005
जानक,28,0.0005833333333333334
ानकी,26,0.0005416666666666666
नगरी,29,0.0006041666666666667
इमां,18,0.000375
सागर,37,0.0007708333333333333
ागरं,17,0.0003541666666666667
इतीव,17,0.0003541666666666667
दीनं,18,0.000375
देवा,38,0.0007916666666666666
कालो,21,0.0004375
शरथं,17,0.0003541666666666667
रजनी,31,0.0006458333333333333
जनीं,17,0.0003541666666666667
तारा,39,0.0008125
नापि,23,0.00047916666666666664
महीं,19,0.0003958333333333333
ीनां,55,0.0011458333333333333
विहा,21,0.0004375
िहाय,18,0.000375
सतां,18,0.000375
वसति,18,0.000375
ामेत,19,0.0003958333333333333
मेति,21,0.0004375
ुरुत,22,0.0004583333333333333
रुते,18,0.000375
पूजा,18,0.000375
ूजां,16,0.0003333333333333333
तदिद,16,0.0003333333333333333
दिदं,30,0.000625
दिवं,16,0.0003333333333333333
चाहं,16,0.0003333333333333333
तथेत,15,0.0003125
थेति,17,0.0003541666666666667
पृथि,37,0.0007708333333333333
ृथिव,37,0.0007708333333333333
थिवी,37,0.0007708333333333333
शुभं,18,0.000375
शुशु,16,0.0003333333333333333
ुशुभ,17,0.0003541666666666667
शुभे,21,0.0004375
हृदि,15,0.0003125
िवीं,15,0.0003125
ालेन,22,0.0004583333333333333
ाहुं,17,0.0003541666666666667
तावु,15,0.0003125
ावुभ,17,0.0003541666666666667
वुभौ,18,0.000375
पुरु,61,0.0012708333333333332
ुरुष,66,0.001375
ेजाः,17,0.0003541666666666667
लभते,16,0.0003333333333333333
लोका,29,0.0006041666666666667
ोकान,19,0.0003958333333333333
काना,26,0.0005416666666666666
पारं,16,0.0003333333333333333
वानर,89,0.0018541666666666667
ानरं,15,0.0003125
ानरा,35,0.0007291666666666667
भीरु,21,0.0004375
योगी,14,0.0002916666666666667
सुता,28,0.0005833333333333334
परमा,26,0.0005416666666666666
रमां,16,0.0003333333333333333
महाभ,70,0.0014583333333333334
हाभा,70,0.0014583333333333334
ाभाग,73,0.0015208333333333332
भागा,32,0.0006666666666666666
ायाः,26,0.0005416666666666666
रमते,14,0.0002916666666666667
ावणः,14,0.0002916666666666667
मधुर,36,0.00075
धुरं,14,0.0002916666666666667
येषा,15,0.0003125
विलल,14,0.0002916666666666667
िलला,14,0.0002916666666666667
ललाप,14,0.0002916666666666667
परां,16,0.0003333333333333333
सूतं,14,0.0002916666666666667
ननाद,14,0.0002916666666666667
तेनै,22,0.0004583333333333333
ेनैव,27,0.0005625
महती,23,0.00047916666666666664
हतीं,16,0.0003333333333333333
योजन,23,0.00047916666666666664
ोजना,18,0.000375
जनान,21,0.0004375
नाना,41,0.0008541666666666667
कुलं,20,0.0004166666666666667
चैनं,14,0.0002916666666666667
विदि,28,0.0005833333333333334
िदित,27,0.0005625
दितं,24,0.0005
यदिद,13,0.0002708333333333333
गोदा,18,0.000375
ोदाव,17,0.0003541666666666667
दावर,17,0.0003541666666666667
ावरी,18,0.000375
वरीं,13,0.0002708333333333333
नैवं,15,0.0003125
युधि,13,0.0002708333333333333
शरीर,37,0.0007708333333333333
रीरं,15,0.0003125
पुरं,13,0.0002708333333333333
राजो,20,0.0004166666666666667
कृतो,26,0.0005416666666666666
देहं,17,0.0003541666666666667
जातो,16,0.0003333333333333333
बाला,16,0.0003333333333333333
मतिं,15,0.0003125
िहता,19,0.0003958333333333333
रुधि,16,0.0003333333333333333
ुधिर,16,0.0003333333333333333
धिरं,12,0.00025
मूला,18,0.000375
ूलान,14,0.0002916666666666667
घोरा,32,0.0006666666666666666
जातु,12,0.00025
मारी,43,0.0008958333333333333
ारीच,36,0.00075
रीचो,14,0.0002916666666666667
भाति,21,0.0004375
कथित,14,0.0002916666666666667
थितं,12,0.00025
राजं,17,0.0003541666666666667
लिना,21,0.0004375
गगनं,12,0.00025
नारी,29,0.0006041666666666667
तिता,32,0.0006666666666666666
विजन,22,0.0004583333333333333
िजने,15,0.0003125
ानात,22,0.0004583333333333333
नाति,30,0.000625
तेजस,12,0.00025
ेजसा,12,0.00025
वरार,30,0.000625
रारो,32,0.0006666666666666666
ारोह,36,0.00075
रोहे,14,0.0002916666666666667
कृपण,30,0.000625
ृपणं,12,0.00025
ाघवे,26,0.0005416666666666666
ानास,15,0.0003125
नासि,21,0.0004375
भवित,13,0.0002708333333333333
विता,14,0.0002916666666666667
वासं,24,0.0005
ितां,54,0.001125
ददाम,12,0.00025
दामि,14,0.0002916666666666667
ेवान,17,0.0003541666666666667
