ngram,Frequency,Probability
च,4324,0.02978535805802772
न,8110,0.05586476731050065
स,4965,0.03420081007356791
त,10924,0.07524867054252886
ु,4739,0.032644036040007714
ह,4213,0.029020747802606564
ि,7687,0.05295098228308489
े,7052,0.048576860551621526
म,7790,0.05366048549307029
ं,9330,0.06426859173945389
व,7294,0.050243848676053235
ा,17407,0.11990604248753203
र,6778,0.04668944424544678
ज,1875,0.012915713774006007
य,4061,0.027973713939327145
ो,3640,0.025073705673270327
थ,1455,0.010022593888628662
ै,1401,0.009650621331937288
द,3598,0.024784393684732592
क,3015,0.02076846774860166
इ,572,0.003940153748656766
ः,1970,0.013570109938555645
ी,3006,0.02070647232248643
प,3193,0.021994599509547297
ए,378,0.002603807896839611
ौ,764,0.005262722839114981
ण,1260,0.008679359656132037
ष,1130,0.007783870167800954
ल,1923,0.01324635604662056
अ,491,0.003382194913619706
भ,1748,0.012040889427713333
ू,1163,0.00801118673022346
ृ,1104,0.007604772270134737
ग,1426,0.009822830848924035
ख,555,0.003823051277105778
ब,686,0.004725429146116331
उ,95,0.0006543961645496377
घ,450,0.0030997713057614416
ध,825,0.005682914060562643
श,1991,0.013714765932824512
ऽ,356,0.002452263521891274
फ,100,0.000688838067946987
ढ,64,0.0004408563634860717
ठ,15,0.00010332571019204805
ट,93,0.0006406194031906979
ऋ,23,0.000158432755627807
ड,41,0.00028242360785826466
छ,10,6.88838067946987e-05
आ,66,0.0004546331248450114
ऐ,7,4.821866475628909e-05
ई,5,3.444190339734935e-05
ङ,1,6.88838067946987e-06
झ,2,1.377676135893974e-05
औ,1,6.88838067946987e-06
