ngram,Frequency,Probability
मां,447,0.00603466897073118
राज,582,0.00785722000216006
ाजा,395,0.005332649314180797
मया,322,0.004347121719408143
राम,1175,0.015862944162436547
ामं,321,0.004333621341397559
ततो,285,0.0038476077330165245
यथा,289,0.0039016092450588616
चैव,249,0.0033615941246354897
तां,600,0.008100226806350579
ामो,252,0.0034020952586672425
तथा,236,0.003186089210497894
नाम,278,0.0037531050869424342
यदि,215,0.002902581272275624
तदा,196,0.002646074090074522
वचन,204,0.0027540771141591966
चनं,191,0.0025785722000216007
किं,178,0.002403067285884005
इति,165,0.002227562371746409
ततः,156,0.0021060589696511502
सीत,450,0.006075170104762933
ीता,368,0.004968139107895021
कथं,138,0.0018630521654606328
चाप,161,0.0021735608597040715
ापि,231,0.0031185873204449726
तेन,242,0.0032670914785614
एवं,134,0.0018090506534182958
ामे,247,0.003334593368614321
मेण,121,0.0016335457392807
महा,523,0.007060697699535587
हात,140,0.0018900529214818016
ाते,163,0.0022005616157252405
तेज,168,0.002268063505778162
ेजा,129,0.0017415487633653743
वनं,151,0.002038557079598229
ामः,110,0.0014850415811642726
वीर,235,0.0031725888324873096
तेष,151,0.002038557079598229
ेषा,137,0.0018495517874500486
षां,114,0.0015390430932066099
देव,381,0.005143644022032617
ेवि,101,0.001363538179069014
लोक,212,0.0028620801382438707
ोके,165,0.002227562371746409
वने,137,0.0018495517874500486
भूम,108,0.001458040825143104
ूमौ,84,0.001134031752889081
पुन,124,0.0016740468733124527
ुनः,81,0.001093530618857328
येन,116,0.0015660438492277784
वैद,189,0.002551571444000432
ैदे,189,0.002551571444000432
देह,229,0.003091586564423804
ेही,153,0.0020655578356193974
हीं,94,0.0012690355329949238
नून,79,0.0010665298628361594
ूनं,73,0.0009855275947726536
मयि,73,0.0009855275947726536
अहं,74,0.0009990279727832378
तात,79,0.0010665298628361594
पित,202,0.002727076358138028
िता,322,0.004347121719408143
कृत,234,0.0031590884544767254
ृतं,142,0.0019170536775029701
जगा,96,0.0012960362890160925
गाम,91,0.001228534398963171
ेवी,89,0.0012015336429420024
खलु,65,0.0008775245706879793
भरत,217,0.0029295820282967924
रतं,64,0.000864024192677395
परं,67,0.0009045253267091479
इदं,61,0.0008235230586456421
वाल,116,0.0015660438492277784
ाली,68,0.0009180257047197322
हाब,126,0.0017010476293336213
ाबा,115,0.0015525434712171941
बाह,136,0.0018360514094394643
ाहो,62,0.0008370234366562264
विन,126,0.0017010476293336213
िना,172,0.002322065017820499
सहस,55,0.0007425207905821363
हसा,55,0.0007425207905821363
काल,187,0.0025245706879792633
ाले,107,0.0014445404471325196
ितर,69,0.0009315260827303164
तरं,101,0.001363538179069014
महत,96,0.0012960362890160925
हता,98,0.001323037045037261
कैक,105,0.001417539691111351
ैके,108,0.001458040825143104
केय,100,0.0013500378010584296
ेयी,75,0.0010125283507938223
ीतय,55,0.0007425207905821363
तया,99,0.0013365374230478453
पुर,254,0.0034290960146884115
ुरी,81,0.001093530618857328
रीं,86,0.0011610325089102494
बभू,66,0.0008910249486985635
भूव,66,0.0008910249486985635
कुर,77,0.0010395291068149909
ुरु,165,0.002227562371746409
राव,165,0.002227562371746409
ावण,152,0.002052057457608813
वणं,51,0.0006885192785397991
उवा,52,0.0007020196565503834
वाच,190,0.0025650718220110165
रतो,59,0.0007965223026244735
वयं,50,0.0006750189005292148
तथै,52,0.0007020196565503834
थैव,62,0.0008370234366562264
रूप,160,0.0021600604816934873
ूपं,63,0.0008505238146668106
ुरा,113,0.0015255427151960254
यदा,51,0.0006885192785397991
बलं,56,0.0007560211685927206
राघ,205,0.002767577492169781
ाघव,206,0.002781077870180365
घवं,47,0.0006345177664974619
काम,149,0.00201155632357706
परम,95,0.0012825359110055082
रमं,44,0.0005940166324657091
भयं,50,0.0006750189005292148
सुख,107,0.0014445404471325196
ुखं,70,0.0009450264607409008
दुः,177,0.0023895669078734206
ुःख,171,0.0023085646398099146
ःखं,45,0.0006075170104762934
मात,102,0.0013770385570795983
ाता,115,0.0015525434712171941
जान,213,0.002875580516254455
ानं,102,0.0013770385570795983
साध,57,0.0007695215466033049
ाधु,48,0.0006480181445080463
