ngram,Frequency,Probability
तु,1148,0.010734088210268446
हि,1219,0.011397956035119543
ते,1792,0.016755649889199524
मे,1093,0.0102198244022852
तं,1157,0.010818240469756614
वा,1387,0.012968798212231998
मा,1404,0.013127752480154091
ां,2023,0.01891555788272915
मम,433,0.004048658706486269
सा,860,0.008041215906647093
रा,2682,0.025077373327473843
ाज,607,0.005675602389924169
जा,817,0.007639155111314739
मय,453,0.004235663727571086
या,1055,0.00986451486222405
ाम,2056,0.0192241161675191
मं,435,0.00406735920859475
तत,553,0.005170688832995166
तो,773,0.007227744064928143
यथ,305,0.002851826571543446
था,600,0.005610150632544484
चै,276,0.0025806692909704624
ैव,495,0.004628374271849199
ता,2137,0.019981486502912604
सह,355,0.0033193391242554863
मो,350,0.003272587868984282
तथ,307,0.0028705270736519278
ना,1480,0.013838371560276393
यद,296,0.0027676743120552787
दि,489,0.004572272765523754
तद,269,0.0025152175335907767
दा,598,0.005591450130436002
वच,275,0.0025713190399162217
चन,221,0.0020664054829872183
नं,797,0.007452150090229923
तव,217,0.002029004478770255
कि,264,0.002468466278319573
िं,418,0.003908404940672657
इव,185,0.0017297964450345492
इत,190,0.0017765477003057531
ति,810,0.007573703353935053
तः,326,0.003048181843682503
सी,512,0.004787328539771293
ीत,591,0.005525998373056317
कथ,204,0.0019074512150651245
थं,195,0.0018232989555769573
चा,354,0.0033099888732012455
ाप,477,0.004460069752872864
पि,703,0.006573226491131287
वै,382,0.003571795902719988
ेन,973,0.009097794275776304
एव,213,0.001991603474553292
वं,333,0.0031136336010621885
तौ,177,0.0016549944366006228
ये,347,0.00324453711582156
ेण,314,0.002935978831031613
मह,754,0.007050089294897568
हा,739,0.006909835529083956
ात,675,0.006311419461612545
ेज,175,0.001636293934492141
वन,404,0.003777501425913286
मः,131,0.0012248828881055455
वी,400,0.0037401004216963225
ीर,379,0.0035437451495572655
ेष,450,0.0042076129744083625
षा,256,0.0023936642698856466
दे,800,0.007480200843392645
ेव,579,0.005413795360405427
वि,1181,0.011042646495058392
लो,300,0.002805075316272242
ोक,311,0.0029079280778688908
के,430,0.004020607953323547
ने,416,0.0038897044385641753
अथ,136,0.0012716341433767497
भू,365,0.003412841634797894
ूम,132,0.0012342331391597865
मौ,104,0.0009724261096410438
पु,440,0.004114110463865955
ुन,227,0.002122506989312663
नः,178,0.0016643446876548635
यो,317,0.0029640295841943357
ैद,189,0.0017671974492515124
ेह,266,0.0024871667804280545
ही,285,0.00266482155045863
ीं,464,0.004338516489167734
नू,102,0.0009537256075325622
ून,121,0.0011313803775631376
यि,169,0.0015801924281666963
अह,110,0.0010285276159664888
हं,349,0.0032632376179300413
ित,1011,0.009453103815837456
कृ,289,0.002702222554675593
ृत,406,0.0037962019280217674
जग,125,0.0011687813817801008
गा,226,0.0021131567382584224
खल,66,0.0006171165695798933
लु,73,0.0006825683269595788
एष,84,0.0007854210885562277
नु,275,0.0025713190399162217
भर,221,0.0020664054829872183
रत,303,0.0028331260694349643
पर,368,0.003440892387960617
रं,546,0.00510523707561548
इद,69,0.0006451673227426156
दं,277,0.002590019542024703
ाल,487,0.004553572263415273
ली,175,0.001636293934492141
ाब,130,0.0012155326370513048
बा,228,0.002131857240366904
ाह,307,0.0028705270736519278
हो,128,0.0011968321349428233
िन,364,0.0034034913837436534
हस,61,0.0005703653143086892
का,677,0.006330119963721026
ले,264,0.002468466278319573
तर,160,0.001496040168678529
हत,275,0.0025713190399162217
कै,113,0.0010565783691292112
ैक,126,0.0011781316328343416
ेय,209,0.0019542024703363284
यी,82,0.0007667205864477461
तय,117,0.0010939793733461744
ुर,557,0.005208089837212129
री,289,0.002702222554675593
बभ,89,0.0008321723438274317
ूव,67,0.000626466820634134
कु,297,0.0027770245631095194
रु,465,0.004347866740221975
ाव,391,0.0036559481622081553
वण,156,0.0014586391644615657
णं,206,0.0019261517171736062
उव,52,0.0004862130548205219
ाच,257,0.0024030145209398873
वय,73,0.0006825683269595788
यं,472,0.004413318497601661
थै,68,0.0006358170716883749
रू,181,0.001692395440817586
ूप,180,0.0016830451897633452
पं,139,0.0012996848965394722
नो,155,0.001449288913407325
भव,215,0.0020103039766617733
बल,138,0.0012903346454852312
लं,335,0.00313233410317067
ाघ,216,0.002019654227716014
घव,208,0.0019448522192820877
यः,110,0.0010285276159664888
रम,164,0.0015334411728954922
भय,76,0.0007106190801223013
को,154,0.0014399386623530843
सु,498,0.004656425025011922
ुख,166,0.0015521416750039739
खं,121,0.0011313803775631376
दु,217,0.002029004478770255
ुः,249,0.002328212512505961
ःख,171,0.0015988929302751778
ान,1423,0.013305407250184668
ाध,139,0.0012996848965394722
धु,116,0.0010846291222919335
तप,99,0.0009256748543698399
पस,93,0.000869573348044395
घो,122,0.0011407306286173784
ोर,147,0.0013744869049733986
मन,201,0.001879400461902402
नस,87,0.0008134718417189501
वत,211,0.0019729029724448103
अय,45,0.0004207612974408363
दश,129,0.001206182385997064
शर,220,0.0020570552319329775
रथ,205,0.0019168014661193652
थो,81,0.0007573703353935053
ाय,526,0.0049182320545306645
दद,86,0.0008041215906647094
दौ,65,0.0006077663185256524
गत,248,0.00231886226145172
पा,501,0.004684475778174644
ेश,167,0.0015614919260582146
शं,247,0.002309512010397479
नै,142,0.0013277356497021944
रण,151,0.0014118879091903618
णे,123,0.0011500808796716191
नि,865,0.008087967161918298
ूत,205,0.0019168014661193652
सत,112,0.0010472281180749702
जी,112,0.0010472281180749702
ीव,162,0.0015147406707870107
सद,100,0.0009350251054240806
वो,135,0.001262283892322509
षु,273,0.00255261853780774
अप,48,0.0004488120506035587
णो,64,0.0005984160674714116
चक,41,0.00038336029322387304
ार,710,0.0066386782485109725
वे,308,0.0028798773247061685
ेग,87,0.0008134718417189501
गे,94,0.0008789235990986358
रौ,71,0.0006638678248510972
मै,92,0.0008602230969901542
ैथ,62,0.00057971556536293
थि,165,0.0015427914239497331
िल,219,0.0020477049808787368
सम,226,0.0021131567382584224
