monogram,frequency
.,60
न,398
आ,454
द,44
ह,1
व,86
ब,4
ए,19
औ,1
क,4
फ,1
ओ,3
अ,2
ई,4
ं,1
ज,1
।,1
ऐ,2
उ,1
स,1
र,1
