ending,frequency
है,9756
हैं,3733
आभार,1
चलेगी,5
हूं,117
थी,1163
था,1880
भेजेगा,1
सकेगा,16
किया,451
गई,422
बनाए,16
झटके,2
लिया,182
गया,676
रहा,83
दिया,560
हुआ,130
रही,72
दिलाई,9
दी,318
रहे,98
थमा,2
टकराई,1
रन,1
दिखाया,5
की,323
पहुंचाया,7
होगा,243
सिंह,4
रहेंगे,27
,81
होगी,223
करेंगे,168
करेगी,58
बनाई,14
डाली,9
बुलाया,9
गए,308
कराई,12
बुलवाया,1
दबोचा,9
बोझ,1
झंझट,1
पर,6
जाए,108
जरिये,1
चाहिए,239
जाएगा,263
ली,64
सके,67
लगा,41
आए,62
होती,14
करेगा,50
मिला,51
क्या,7
जाएगी,143
बताया,62
आएगा,22
थे,849
दिए,50
पाए,19
पाई,17
तौला,1
नहीं,67
मनाया,6
देगा,21
उठाया,20
लाडले,1
हों,26
लगते,2
शर्मा,1
कही,22
सकता,45
मिलेगा,53
मिलेंगे,14
होंगे,108
करे,28
जानते,5
मांगेंगी,1
करेगें,1
मांगूंगी,1
मांगी,3
चलेगा,10
थीं,168
पीटा,4
करें,102
सकेंगे,23
रखा,22
उतरेंगे,2
पाया,15
निकली,4
बताई,11
ठहरिए,2
जताई,13
जाएंगे,77
हुए,80
में,30
गये,5
सकते,33
आएं,6
मारा,13
कार..,1
है..,18
लगे,47
गईं,26
देते,3
गाए,1
मिलेगी,41
बनाएंगे,6
खींचना,1
समझते,1
यहां,1
डिटेल्स,2
जाएंगी,13
रहें,10
दें,33
किरदार,1
हो,93
समरसता,1
आई,42
जी,7
कहा,20
करता,5
निकाला,7
पी,6
पहुंची,27
बनाया,17
निकले,13
लाए,2
उठाए,5
मैसेज,2
हकीकत,1
आरोप,2
गए...,1
थी..,1
रखूंगी,2
सकें,26
किमी,9
पेरम्बरा,1
के.बी,1
के.पी,5
ओ,2
मिली,45
जीती,3
एम,3
ए.एन,2
मिले,31
वी.के,2
किए,39
चला,13
का,16
हुई,145
साधा,18
लगाया,21
मोदी,2
जेटली,1
लें,34
मुखर्जी,2
याद,1
आएंगे,56
जाता,10
सम्मान,2
करूंगा,10
प्यार,1
निकाली,4
आएंगी,23
दीजिए,9
फरमान,2
लेंगे,15
बोला,13
सकती,18
बताएंगी,1
सकतीं,3
चाहते,3
पहुंचे,45
जाते,8
खटखटाया,2
आएगी,13
देगी,18
उठी,3
देखा,10
चाहती,6
सकेगी,4
सवाल,2
मांगा,6
बचाओ,1
ऐलान,3
निकलीं,1
देंगे,44
लौटी,3
आईं,14
लिखी,2
डाला,24
डाले,3
लगीं,5
बने,17
सी.एल.यू,2
सबूत,1
भेजा,8
वोट,2
नुकसान,1
रहेगी,15
कप,1
लगाए,22
कराईं,1
लौटे,5
लेगा,10
सेना,1
ख्याल,1
बचें,6
रखें,10
भूलें,1
निपटाएंगे,1
फीसदी,3
परिवारवाद,1
खरीदे,1
कमाया,1
रुका,1
रुपये,3
कार्रवाई,2
लिंक,1
जाएं,24
बोलते,1
तैयारी,3
पाऊंगी,1
लूंगी,2
निपटगी,1
सका,17
वेल,1
बनेंगे,5
दास्तान,3
कौन,2
अपनाई,1
कमाए,2
गयी,6
सकी,12
होता,17
आर,4
उतरती,1
उठाएगा,2
बख्शेगी,2
पहंची,1
अगवा,1
खतरा,2
बात,2
चालें,1
नामोनिशान,1
लगता,3
पहुंचा,9
एस.पी,2
रु,11
अलग,1
एच,1
एस,7
डा,3
मचाया,5
पहनाएंगे,1
और,4
हैं..,12
चुना,4
बहू..,1
गया..,1
स्टाइल,2
रहीं,14
जलें,1
.....,1
बनाएंगी,1
निजात..,1
लीजिए,8
रखी,8
..,3
होंगी,19
करेंगी,26
बरसे,1
कीं,13
बुलाई,2
एम.एन,1
सरगना,1
बगदादी,3
चलाया,3
नाम,1
दूंगी,2
ले,6
बहाया,4
लिए,19
लाया,4
निकला,6
करवाई,1
टूटेंगे,1
एक्सपीरियंसहै,1
साथ,7
बोहरा,1
पहुंचीं,5
बढूंगी,1
घूमे,2
खंगाला,1
कैसे,4
माना,3
सुधरेंगे,1
उठाएंगे,4
फांसी,3
पहुचेंगे,1
पहुंचेंगे,10
संभालेगी,1
वार्ता,1
जानकारी,1
तबाही,2
के,19
करो,7
दिखाते,1
कहानी,6
शोम,1
खान,4
मौका,1
अप्लाई,1
दीं,9
देंगी,9
कहिए,1
शिकंजा,1
पाएगा,11
लगाई,9
सिखाएगा,1
संभालेंगे,4
पूछा,4
अब्राहम,1
आएंगें,1
धमाल,2
कैंसिल,2
हिचकिचाएंगी,1
करती,1
भारतीयों,1
दूंगा,6
समझें,2
जताएं,1
खींची,2
होते,3
उठाई,4
लगी,32
कराए,4
पाएंगे,16
दे,10
देती,1
करते,13
एन.के,2
कराया,9
रैली,1
केरल,1
जेट्स,2
भी,14
चाहिए.,1
ने,8
तरह,1
रखना,1
पाओगे,2
रुकेंगे,2
बताए,2
पिलाऊंगी,1
बातें,3
सकूं,1
अत्याचार,1
मंडराएगा,2
रखती,1
होतीं,3
खाएंगे,1
पिएंगे,1
ओढेंगे,1
पहनेंगे,1
दागे,2
चलाई,4
सुनी,5
मिलाकर,1
मारूंगा,1
सिस्टम,1
बैठा,1
जताया,7
जायेगी,2
बनाएगी,6
दिखाई,9
फेंकेंगे,1
बांटे,1
लाएगा,1
मायने..,1
क्यों,4
सुहागा,1
तो..,2
मुझे,1
करेगी...,1
रहेंगी,7
चाहिये,3
होना,3
रखेंगे,3
भेजीं,2
पहुंचेगी,6
मिलूंगा,3
को,4
खेलें,1
मारते,1
कराएंगे,4
कमाल,1
मानते,2
कीजिए,10
बार,1
खोया,1
आती,2
बताऊं,1
जानता,3
रहेगा,25
रोकते,1
भरी,6
कैमरा,1
वजह,3
बना,2
गुजरी,1
कराएगा,4
जानें..,1
काम,1
उठें,1
लगेगी,3
खाएं,1
पाते,5
हत्या,1
ए.के,3
आया,29
त्यागी,1
खरीदेगा,2
वी.एस,1
देखी,5
कीजिये,1
निभाई,1
भेजेगी,2
खबरें....,2
प्रवचन,1
दिखेंगी,4
बनेगी,3
कराएगी,5
चाहेंगे,7
दोहराई,3
पाएंगी,2
अाया,1
से,6
सरकार,1
कराएं,2
फायदे,2
जायेगा,4
श्मशान.,1
भागे,2
खुला,7
बदली,1
दिखा,3
समझाए,1
खाते,1
करुंगी,1
करवाए,2
जााएगा,1
टिकेंगी,1
मरूंगी,1
चले,1
बताएगा,2
रखे,2
मुस्लिम,1
बस,1
बसें,2
चलते,1
चाहता,3
होम,1
था.,1
बराबर,1
उतारेंगे,1
टी,2
कपूर,2
स्माइली,2
विधाएं,1
बीच,1
टिकी,1
बनें,2
मानें,2
शायरी,1
सुनाया,15
लव,1
सच,4
भिजवाया,1
खोला,4
चली,6
घई,1
साल,1
सूरी,1
लौटाएंगे,2
बताएं,1
उतारा,4
खुले,2
परेरा,1
कुमार,2
बुलाएगी,1
मिलाया,3
रुके,2
ठहरे,1
स्टोरेज,1
नरम,1
देता,3
क्यों.,1
बिंदू,1
पाएगी,3
सच्चाई..,2
गिनाए,2
पहुंचाएंगे,2
जुटे,2
गिराया,7
आर.एन,2
कैंसर..,1
राइटर,1
सोची,1
जानेंगे,1
दिखाए,2
जाना,6
होगा..,1
उठाएगी,3
उठेगा,3
फिल्म,1
विदाई,1
गलत,1
सामने,1
वाला,3
पूछे,4
लिखा,2
किये,2
वजह..,2
करवाईं,2
रखता,1
करतीं,3
मौका..,2
दिखेगा,4
रोई,1
रखेगी,4
सुना,3
फैसला,1
हारी,1
सुझाव,1
बैठे,3
लगेंगे,7
.,8
सुनीं,1
सुनाएगा,2
भी..,1
देखेंगे,6
लेगी,5
था..,1
दुख,1
खुलासा,1
बौखलाहट,1
आईला,1
आरोपी,1
दावेदारी,1
सुनेंगे,1
ज्यादा,1
नहीं..,3
मिलता,6
रखेगा,2
खुलेगा,1
लेकिन..,1
बचाते,1
सुनाए,2
पातीं,2
करवातीं,1
मारी,2
के.वी,2
सौंपा,4
लो,3
निर्देशित,1
मानेंगे,2
चुनें,4
कहें,2
होता..,2
बनाएं,6
जगह,1
बढाएं,1
रहिए,2
पोल,2
शूटिंग,1
मांगेगी,1
लगाएगी,1
खींचेगा,1
जान,1
अफवाह,1
गर्इ,1
दिलाया,1
करना,6
स्वीकारेगा,1
दिख,1
खाना,2
पाउंगा,1
पाएं,2
सुधरेगी,1
खेलूं,1
खबरें,2
खास,3
लगेगा,7
यार,1
जन्म,1
बनता,1
पतला,1
जीते,2
बनाना,1
बुलाएंगे,2
बहार,1
गाएं,1
सुकून,1
बाहर,2
जाती,4
हुईं,11
रहीम,1
वैन,1
कैमरे,2
वस्तुएं,1
फोन,1
ड्राइव,1
शामिल,2
दो,2
बदला,1
फायदा,1
सुलझाया,1
रहे...,2
गरजेंगी,1
दिमाग,1
शादी,3
राजपूत,1
किए..,1
बनी,5
हेयर,1
जल्लाद,2
कब,1
मलिक,1
ए,4
दिखी,1
मत,1
मनवाया,1
बंटोरी,1
आयी,1
विकास,1
बची,1
फेकें,1
तक,3
शुरू,1
यू.यू,1
दिखे,9
जीता,5
स्व,1
एच.डी,1
ठहराया,3
उतारेगी,2
लगाएं,9
दिये,1
चलाईं,1
एक,2
मिलाते,1
शब्द,1
दिखाओ,1
उकसाया,1
देखता,1
जाइए,1
परोसे,1
वयस्क,1
एल,2
हैंं,1
खेली,2
बजट,1
समझा,3
उम्मीद,1
संबोधन,1
उस्ताद,1
दिन,2
जानती,1
एंट्री,1
लाएंगे,4
आजमाएंगे,1
बधाई,6
कहूं,1
लूंगा,3
सौंपेगी,2
थें,2
नोचते,2
पाय,1
चीखती,1
दोस्त,1
ट्वीट,1
दिलाएंगे,3
दरार,1
बनीं,5
छटेगा,1
पालें,1
जे,3
डराती,1
रहती,1
पाता,3
सुलझता,1
की..,2
पहचानता,1
देखो,1
बनाएगा,1
धरम,1
उतारी,1
मुकाबले,2
जमाए,1
चाहिेए,1
परेशानी..,1
दिखुंगी,1
होंगे..,1
आदि,1
खबर,1
चलें,1
पता,2
बताइए,1
मांगिए,1
आऐ,1
खाऐंगे,1
करवाया,5
महामंच,2
हेडली,1
सबब,1
तौलेगा,1
बदलता,1
कहते,3
महीने,1
मजबूरी,1
उगली,1
पहुंचेंगी,2
बनेंगी,1
बदलाव,2
उभरी,1
सुनाई,10
पास,3
वर्णन,1
चलाएगी,1
पिलाई,1
लोचा,1
पाती,3
अहमद,1
सुतारिया,1
चटकाया,1
बेवकूफ,1
चैनल,2
लगाएंगे,3
डालें,2
तभी,1
मानी,1
आपको..,1
निकालें,2
पहुंचाएगी,2
देखें,2
सहारा,1
सफर,1
मिलीं,4
डरे,1
चाहूंगीं,1
शेड्यूल,1
एन.एन,1
हराया,4
रनोट,1
वन,1
से..,2
जीतेंगी,1
कहूंगा,3
मिठास,1
सिमटी,1
चखा,1
नैया,1
वोटिंग,1
मतदान,3
जीतीं,4
तोहफा...,1
तस्वीरें....,1
सांसद,1
दिखेंगे,6
बंधेंगी,1
रचाएंगी,1
सौंपेंगे,1
पेंशन,1
महिमा..,1
डमरूधर,1
त्रयंबकेश्वर,1
शक्ति,1
निकलें,1
जताएगा,1
दोहराया,1
देखेगी,1
खेलेगी,3
लिखेंगे,1
कमान,1
भेजेंगे,1
लपेटें,1
कार्य,1
कर्मी,1
बदले,3
कारण,1
हाहाहाहा..,1
लूं,1
शुक्रिया,3
दिखाती,1
रहूंगी,1
खुशखबरी,1
रिपोर्ट,2
रोटियां,1
पहुंचाए,2
डाडा,2
हीरू,1
कौशिक,1
जनप्रतिनि..,1
चलेंगे,2
चूक,1
बरसाईं,1
पटेल,1
सुनें,2
मैगी,1
मिलती,2
समझी,1
खुश,1
लाओगे,1
बचाई,1
बुझाया,1
खाती,1
एक्टिंग,1
देओल,1
रिसेप्शन,1
लीग,1
गयीं,1
सोचा,1
वहां,1
दोगुना,1
दिलाएगा,1
बनेगा,3
कांग्रेसी,1
लागू,1
सौंपी,1
गिरीं,1
बचाया,2
गिरे,2
गुजारी,1
लीं,4
लगवाएंगे,1
मिलें,3
अलर्ट,1
अपनाए,1
बाद,1
गिनाया,2
जाऊंगा,1
संधू,2
निभाया,2
जाओ,2
मंगलवार,1
प्वाइंट,1
बेटी,1
कहीं,3
यूं,1
आर.के,3
किस्से,1
माने,1
संभाला,4
खाई,2
हटाया,1
वी,2
हमला,1
लक्ष्य,2
बताईं,1
पाईं,4
पहनें,4
लेते,1
मो,3
है्,1
में..,2
दिखता,2
देंखे,1
घूमें,1
मिलेंगी,2
आशंका,1
कहेंगे,2
कसा,2
ओह..,1
परिवार,1
अंजाम,3
अपडेशन,1
निकालेंगे,3
भेजना,1
रची,2
देश,2
चीफ,1
आईएसआई,1
इराक,1
सीरिया,1
छपे,1
हो..,1
बरपा,1
झंडे,1
मुक्त,1
आदेश,1
मिलाएं,1
रखो,1
मनोकामना,1
नकारात्मक,1
हिंद,2
मातरम,1
इंडिया,1
सदगमय,1
ज्योतिर्गमय,1
गमय,1
करवावहै,1
विद्विषावहै,1
आप,1
चाहेंगी,1
आसानी..,1
माएगा,1
ठाने,1
कैद,1
रूकेगी,1
बी.एल,1
निबटाईं,1
प्रो,3
डी.पी,2
सीरियल,1
आयोजन,1
ठनी,1
आपत्ति,1
लगेंगी,1
चलेंगी,5
जायगा,1
आपत्ति..,1
भरें,1
एग्जामिनेशन,1
घेरा,2
नसीहत,1
हिचकिचाएं,1
बख्शेंगे,1
आता,1
रोकें,1
लाएं,1
शूट,2
खबरें..,2
टोका,1
रोका,2
जरूरी,1
गुजरा,2
चाय,1
फूड,1
समाना,1
खिलाए,1
खिलाई,1
होइए,1
जैसा,1
लगकर,1
स्क्रीन,1
इंडिया..,1
मिलन,1
संपन्न,9
संगठन,1
सजाएंगे,1
डी,1
पुलिस,1
सिखाएगी,1
मैनपुरी,1
कमाई..,1
वर्मा,1
कास्ट,2
देखकर,1
झुके,1
ई,1
बांटी,1
अंदाज,1
रिएक्शन,1
गुजारा,2
मारे,1
सिया,1
मां,2
गोदा,1
धोया,1
शो,1
बताएंगे,3
उतरे,2
कीमत,1
इंतजाम,1
दिलवाया,1
डरते,2
यू,1
को....,1
टिप्स,1
अपनाएं,1
सुलझाएं,1
बरतें,1
बनेंगी..,1
दिखाएगी,1
ही,1
छुआ,1
कदम,1
वाले,1
रखते,1
बचाएं,1
दिलाएं,1
मागी,1
व्यवहार,1
मिश्रा,1
जियो,1
स्टोरी,1
बनती,1
घाट,2
जाप,2
चोरियां,2
देना,1
दुकानदार,1
लौटा,1
कोचलिन..,1
भूलेंगे,2
स्वागत,12
सम्बोधन,14
स्टेडियम,1
रचाई,1
मामला,1
होंगीं,1
पार्टनर,1
अकेले,1
आर.पी,4
टैटू,1
थिमैया,1
रखियेगा,1
बनायेगी,1
भुनाएगी,1
संभालिए,2
निर्माता,1
आलिया,2
पहुंचाईं,1
धन्यवाद,1
सुल्तान,1
कांग्रेस,1
टटोलें,2
लेना,1
गया.,1
आतंकी,1
भरा,1
धंसी,1
उठा,1
कहा..,1
जिम्मेवार,1
गौतम..,1
फंसाया,1
खेल,2
मांगे,1
निकाले,1
मिलूंगी,3
सीट,2
चटाई,1
उभरा,1
बेलसंड,1
रखिए,1
ने..,1
आईसक्रीम,1
कहां,1
सौंपे,1
शुरुआत,1
मर्दानी,1
कैसे..,1
चाहिए..,1
कराते,1
दूसरा,1
फंसें,1
सकीं,1
लहराएगी,1
खूबियां,1
बातें..,1
ठग्स.,2
बातें.,1
ठग्स..,1
जाफरी,1
डरें,1
बिताया,1
क्रिकेटर्स,2
आजादी,1
खलल,1
नजर,2
करीना,1
सराहा,2
में.,1
सम्मानित,1
ड्रामा,1
फर्नांडिस,1
मानता,1
रखवाऊंगा,1
चलवाएं,1
चलवावो।,1
हैं।,1
बेताब,1
घुसी,1
पैसे,1
बातचीत,2
बांटा,1
बीजेपी,1
जीतें,1
विरोध,1
बचाव..,1
लाएगी,1
अप्रवासी,1
भारतीय,1
दिखाएंगे,1
इसमें,1
एच.के,1
बी,1
एम.एस,1
निभाएंगे,1
बुझाई,1
बनवाएं,1
जश्न,1
मि,2
शुभकामनाएं,1
कनेक्शन,1
सप्लाई,1
समझाया,1
उतरेंगी,1
बरपाया,1
चलीं,1
लिये,1
लियोन,1
रेड्डी,2
कम,1
कानून,1
मनाएंगे,2
बैन,1
रहना,1
निकलना,1
गुड,1
जारी,1
टिकट,1
बुकिंग,2
फाजली..,1
सरताज,1
फरवरी,1
और.,1
कुछ..,1
लुक..,1
जाए..,1
पेंट्स,2
चालाकी,1
डेटा,1
दत्तो,1
जिए,1
सिमरन,1
जाऊं,1
शरीर,1
मुहर,1
अधिसूचना,1
नियुक्ति,1
मारापीटा,1
भोगा,1
बैठी,1
चलाइए,1
दिव्यांका,1
वर्कआउट,1
मोटिवेट,1
चाहतीं,1
एस.के,1
कसेगा,1
सोचता,1
देखिए,1
यादव,1
जुटाएगी,2
सच्चाई,1
पहने,1
मिनट,3
रखीं,1
लूजर,1
एजुकेशन,1
जातीं,1
लेंगी,1
डिजाइन,1
बंधेंगे,1
टूटे,1
गांधी,1
ट्रेलर..,1
शिवाय..,1
शिवाय,1
वापसी.,1
उपाय,1
मिलवाया,1
मारोगे,1
रुकी,1
कुचला,1
पटका,1
खेला,1
अंगूठी,1
स्थापना,1
मनाएगी,1
एक्टर,2
मरे,2
हां,1
महल,3
तस्वीरें,1
रोड,1
बिल्डिंगें,1
समझिए,1
मदरसा,1
मैदान,1
चाहेगी,1
बटोरे,1
चुनी,1
बुमराह,1
बेनेट,1
लगती,1
सुझाया,1
सेजल,1
