halfLetter,frequency
ल्,4532
प्,6602
त्,6720
न्,4472
द्,2887
ज्,1580
व्,823
क्,8488
र्,13109
ग्,2247
म्,1580
ट्,3094
श्,2060
ध्,1015
स्,9348
ष्,1496
फ्,1553
ब्,1293
ड्,550
थ्,154
ख्,1067
च्,1110
भ्,113
ह्,73
ठ्,11
ण्,48
ढ्,1
य्,33
ु्,8
झ्,4
ि्,12
घ्,16
ै्,1
ू्,1
