matra,frequency
ा,177514.0
ि,80134.0
ी,92713.0
ु,28584.0
ू,12790.0
े,139084.0
ै,29342.0
ो,56152.0
ौ,4338.0
ं,80002.0
ः,113.0
ँ,14.0
ृ,886.0
