swar,frequency
अ,14288.0
आ,12555.0
इ,13463.0
ई,9124.0
उ,10577.0
ऊ,330.0
ए,19448.0
ऐ,1344.0
ओ,1995.0
औ,7856.0
अं,925.0
अः,0.0
ऋ,86.0
