matra,frequency,probability
ा,4.0,0.2857142857142857
ि,4.0,0.2857142857142857
ी,3.0,0.21428571428571427
ु,1.0,0.07142857142857142
ू,0.0,0.0
े,0.0,0.0
ै,0.0,0.0
ो,2.0,0.14285714285714285
ौ,0.0,0.0
ं,0.0,0.0
ः,0.0,0.0
ँ,0.0,0.0
ृ,0.0,0.0
