monogram,frequency
न,1439
आ,2115
व,345
ए,98
.,278
द,216
अ,12
क,8
ख,3
ओ,17
ब,7
।,20
उ,1
ई,24
ग,1
ह,3
छ,1
ट,2
औ,5
घ,8
थ,1
ऐ,2
ा,1
र,1
य,1
इ,1
