halfLetter,frequency
त्,26710
स्,36686
व्,3030
क्,34247
फ्,5422
प्,25762
र्,51404
ग्,8813
न्,17470
ज्,6528
ध्,3700
च्,4671
ल्,17456
द्,10945
ब्,5086
म्,5789
श्,8273
ख्,4704
ट्,12356
ड्,2120
ष्,5832
ह्,419
घ्,69
भ्,477
ण्,147
थ्,537
य्,68
ि्,23
ञ्,1
ठ्,43
उ्,1
ु्,13
ी्,2
ू्,5
छ्,3
े्,2
ै्,3
ृ्,2
ढ्,4
झ्,4
ङ्,1
