vyanjan,frequency
क,586530.0
ख,44500.0
ग,123169.0
घ,11072.0
ङ,1.0
च,62312.0
छ,16536.0
ज,145137.0
झ,5389.0
ञ,825.0
ट,91992.0
ठ,9807.0
ड,59750.0
ढ,5498.0
ण,13559.0
त,222309.0
थ,47762.0
द,160889.0
ध,32411.0
न,339125.0
प,196667.0
फ,47818.0
ब,146286.0
भ,51464.0
म,277569.0
य,171220.0
र,531067.0
ल,255205.0
व,134999.0
श,73957.0
ष,22315.0
स,330157.0
ह,305791.0
