swar,frequency
अ,56772.0
आ,51190.0
इ,51742.0
ई,35545.0
उ,41332.0
ऊ,1515.0
ए,77833.0
ऐ,5135.0
ओ,7803.0
औ,31513.0
अं,3785.0
अः,0.0
ऋ,351.0
