ending,frequency
हैं,15522
किया,1942
था,6972
लिया,773
गया,2693
थी,4481
गयी,32
है,37052
पैसा,4
दिए,171
आएगा,83
जाएंगे,304
आए,214
चाहिए,996
लाएंगे,6
होगी,906
गई,1755
दिया,1968
दी,1210
देखा,35
हुई,555
मिला,217
मिली,159
थे,3411
मिले,135
चलाया,9
हो,442
पहुंची,93
सकेगा,60
जाएगा,1005
मिलेंगे,44
मिलेगा,199
हुआ,598
बताई,52
गए,1290
करवाया,22
एन.वी,1
करेगी,254
होगा,1089
की,1556
सकूं,6
हूं,643
करें,351
लगे,174
थीं,585
गईं,144
जाए,412
नागपंचमी..,1
है..,58
रहेगा,155
रही,205
रहेगी,86
ली,319
रहे,406
देंगे,201
रहेंगे,135
कहा,144
आएंगे,227
पहुंचे,213
हुए,243
पीटा,17
निकला,39
सके,280
आएगी,52
पर,35
देगा,85
जाएगी,520
पहुंचेंगे,21
देरी,1
पाकिस्तान,2
समर्थक,2
में,104
रवाना,4
संदेश,5
शुरू,7
जाएंगी,62
आदेश,4
जाऊंगा,14
करेंगे,630
बी.के,5
नहीं,425
दिखेगा,10
सकेंगे,89
आसान,1
पाएंगे,91
कराई,52
खेमका,1
रुकी,2
वी,7
भेजा,18
समझा,13
कहलाए,1
देगी,83
बनाया,79
हां,7
बने,87
करें..,6
हों,77
वर्ष,1
होंगे,411
हटेंगे,2
पहुंचता,1
करे,98
मारा,28
दूंगा,22
रहा,321
चलाए,3
चली,28
काटे,4
झटके,6
जीते,21
जीता,24
जमाया,8
लगी,123
पाई,64
करेंगी,79
पाईं,11
होता,78
देश,2
सकते,72
दोहराया,6
बालन,2
आएंगी,112
बटोरना,1
लेता,6
बुलाऊंगा,1
करेगा,176
सकता,160
बातें,5
पाया,53
लिए,99
सरकार,5
रखा,74
छात्र,2
चाहेंगे,14
उठे,10
अंश..,1
आपको,1
,408
गिफ्ट,1
बनाई,28
दिखेंगी,17
करूंगी,9
होम,1
डाला,100
रहीं,66
का,66
निकलतीं,1
लें,123
साहब,1
बात,10
करते,47
जाते,24
पीछे,6
दयाल,2
कुमार,4
चिरंतन,1
जाती,23
कौन,12
ठहरते,1
लेंगे,104
सौंपेंगे,7
दिलाई,14
के,70
कहलाया,2
खोली,4
लगा,142
मस्तान,2
भी,69
सका,56
लगाया,86
सकी,67
आया,160
चलाई,10
सिंह,8
ए,27
पी,60
बनेगा,26
बदलेगी,1
रहेंगी,25
ही,32
सौंपा,9
कविताएं,1
हैं..,36
..,30
था..,7
थी..,5
पहुंचा,50
आई,131
पहुंचीं,28
निकले,36
कराए,6
पाए,73
बना,19
साथ,24
सकें,94
लिमिटेड,1
यूनिट,2
लि,6
बहन..,1
निभाएंगी,6
निभाएंगे,16
हराया,28
गये,21
गिराया,44
चाहता,20
ठाकरे,1
चुना,25
अपनाया,5
लगाई,35
एम.जी,1
रु,65
बांटे,1
रखना,3
जे,9
ई.के,1
जाएं,72
दिखाया,31
जाऊं,4
चाहते,27
बनेंगे,12
रहें,63
देंगी,40
अपना,1
मारे,5
भागा,9
घाघरा,1
साधा,68
सूझा,2
सजा,3
समझी,3
डालेगा,6
देखते,1
मिलीं,25
किए,160
बताएगी,3
रखी,53
बदलेंगी,1
पाएगा,35
उठाएं,4
कराया,54
जाये,7
बनाएगी,20
बताकर,1
जाता,41
वी.एन,1
ए.पी.जे,1
फुटेज,1
आईं,57
भारतम,1
करोगे,5
करूं,7
बनाऊंगा,2
मांगे,5
दीजिए,31
फेंका,8
होंगी,87
अहम,2
छोडूंगा,1
देते,19
खुला,14
जीतीं,4
खोले..,1
अंश,5
सोचता,1
मिलती,12
सीखी,4
करूंगा,43
बोलिए,2
चला,41
खबरें..,3
काजोल,1
चलेगा,55
उपाय,4
आदि,9
भागेगी,1
दिखाएगा,2
मचाएगा,1
ढाएगा,1
अधिकार,1
उठाई,14
डाली,44
लुक,7
वाले,7
बताया,150
सुनाई,39
रची,9
जनवरी,1
क्या,41
सौदागर,1
घूमो,1
प्लाईवाले,1
भागेंगे,1
कभी,2
बेचीं,1
बैठे,19
चुनी,2
दुकान,1
हिट,1
खेलते,1
रुके,7
पता,16
होऊंगा,3
छपती,1
दिया..,1
हुईं,57
इंटरव्यू,3
केजरीवाल,2
सकती,67
लिखा,12
देखेगा,4
लगाए,45
निकाला,26
मिलेगी,120
समझाया,5
खेला,8
करतीं,10
निकालेगी,2
लगाएं,39
दें,155
चाहेगा,5
उम्मीदवार,7
कैमियो,1
झलक,2
घटी,7
रखें,60
मांगें,8
बेस्ट,2
झुकाए,1
दूंगी,5
वाला,20
बनाउंगी,1
खेलूंगी,1
उठाया,52
शुक्रिया,12
बचेगा,4
डालेंगी,1
मिलाएंगे,1
दिये,4
लूंगा,8
सलाम,3
खटखटाया,5
लौटाएंगे,1
लगीं,23
ने,32
तराशा,1
रहना,3
ए.के,11
हिस्सा,2
लालसा,1
निभाई,16
सौंपी,12
छूटा,1
पाएगी,22
घूमता,1
रहता,8
जागेंगे,1
दोस्ती,1
खुले,2
दिखीं,17
दिखेंगे,24
.,30
पांडे,2
खेली,15
खेले,4
उठा,23
सच्चाई,3
दिखाएं,11
टपकते,1
बुलाया,40
उतरे,11
मारो,3
दे,39
ई.एल,3
काटा,7
अंग्रेजीदां,1
साल,4
सफर,8
डी.एच,1
हा,1
बधाई,12
लेगा,28
सीट,3
आर,23
बनीं,8
बी.एड,2
बांटें,1
गिरी,10
प्लीज..,2
बुलाऊं,2
बुलाओ,3
मी,3
उठता,4
गुजरा,3
नजर,3
करना,18
दौरान,2
राशिफल,1
एल,6
सी,7
बातें..,17
शाह,1
आएं,15
बनेगी,24
देखें,16
वजह,13
है...,3
यार,3
वरुण,1
से,48
ट्वीट,3
लिखी,9
चांस,1
थमाया,2
सफलता,2
यश,1
सोएं,2
पूछा,20
मनाया,15
भागी,3
रिलीज,4
होइएगा,1
जाइए,7
लगेंगे,26
लगेगा,49
पाएंगी,6
आती,16
आता,12
खैर..,1
बनता,3
बनाए,38
गिरेगा,1
प्रो,18
कीं,25
होते,31
कदम..,1
जी,19
डालें,10
लगाएंगे,9
कार्ड,3
लूंगी,5
दिखाए,13
चाहूंगी,4
बगदादी,2
खत्म,5
कुछ,3
उठाएंगे,12
घेरेगी,1
किताब,2
लौटेगी,4
होती,39
पहनाया,1
कैजुअल,2
सूट,1
आप,3
ड्रेस,1
जोगिन्दर,1
कहते,1
बिल्कुल,2
बनाएंगे,19
बनेंगी,6
उगाओ,1
खाता,2
मारेगा,4
लेंगी,11
पूरी,2
मांगी,22
उठी,10
मिलता,9
करो,20
बनाएंगी,3
होत,1
जायेंगी,2
जाएंगे.,1
कांग्रेस,4
जागरुकता,1
दबोचा,18
ठानी,5
मो,17
टेका,2
रखेगी,7
दिखी,19
जानते,3
बालकृष्णन,1
काबिलियत,1
नायर,1
होतीं,2
लगती,6
सुना,7
कही,75
डालें.,1
रखेगा,7
खुलेगी,1
जायें,2
डी.पी,2
बताएंगे,13
बनाना,4
बोलो,2
तो.,1
ना,5
जायेंगे,5
जमीन,2
वहां,1
बच्चे,1
पाएं,11
पाठक,2
बताएं,10
बताए,7
सा.रे.गा.म.पा,1
बचेंगे,3
धोखा,3
रुपये,13
के.सी,2
के.जी,1
रोल,2
लाएं,5
दीं,46
गिरा,7
शूटिंग..,2
गरीब,1
पकती,1
मानते,8
दीजिये,2
समाचार,2
हराना,1
