triagram,frequency
असम,231
में,67049
किए,1524
बाद,8305
लिए,11828
गया,6678
था.,6915
हुए,5600
इसी,1265
पास,1904
रभा,1
गये,89
खेप,24
लाई,34
थी.,4451
समय,1802
रही,6186
है.,36670
रहे,6013
उठा,191
कहा,8426
ऐसी,736
कोई,3232
ऐसे,1717
आया,850
लोक,111
सभा,160
बीच,2361
बता,1470
दें,1197
देश,2596
लाख,1157
नाम,2207
ठगा,7
आए.,214
चला,546
बार,2858
साफ,760
तीन,1584
राज,318
हुई,2504
मैं,1945
अगर,1719
काम,2501
चंद,57
जाए,307
दिए,925
हैं,5811
अभी,1268
ठीक,495
नहर,42
लाश,200
सटे,94
शहर,422
गई.,1740
बात,3802
दी.,1202
भेज,396
दिन,2248
रूप,1192
वजह,1558
बहन,270
हुआ,2254
रात,969
बजे,706
उसे,1980
फोन,626
बंद,821
फिर,2239
पता,1036
थे.,3389
जिस,771
केस,973
नोट,303
भरे,82
फैल,96
बैग,83
नवी,8
पुल,68
खबर,712
करा,212
एंड,220
इंच,45
इसे,1236
भले,219
सीट,795
साथ,7884
सेल,136
रहा,5142
रखी,290
बेस,52
कुछ,3775
लकी,26
तहत,870
रैम,58
जूम,7
लोग,2095
मां,738
होश,75
गए.,1279
जान,465
सभी,2033
पीठ,105
यदि,261
शेष,23
ऐसा,1415
सात,298
साल,3784
कभी,672
रखा,659
चले,205
जिन,244
की.,1540
शाह,857
आशा,48
देख,426
पाल,49
पति,532
तरह,2626
कौर,103
आने,1258
जमा,190
नगर,407
खुश,223
जून,375
चली,200
सुन,61
पाई,187
खुद,1160
लिख,100
सिर,206
गला,113
वही,237
लगा,1074
दौर,252
यौन,235
जेल,836
पोप,6
माफ,108
पहल,71
पाप,17
दिल,335
तौर,991
छूट,146
नाग,8
शुभ,36
शिव,82
अहम,496
गले,130
मास,12
आदि,104
जलम,1
दान,38
कुल,516
उमस,8
भरी,109
तेज,418
हवा,135
धूल,50
कमी,224
ऊपर,313
बना,877
एटा,27
गरज,11
छाए,19
भाग,229
अति,32
ली.,316
पोल,156
खुल,62
हाथ,685
हाई,360
मौत,1378
सिख,91
चोट,141
लगी,407
मदद,834
खान,1698
नजर,1637
सेट,162
रंग,222
