word,frequency
असम,231
में,67049
भारी,376
मात्रा,117
मिला,487
विस्फोटक,40
के,87746
जिले,949
से,36402
सेना,766
की,55291
खुफिया,210
इकाई,68
ने,37657
और,31095
डेटोनेटर,2
बरामद,459
किए,1524
हैं.,15329
यह,5978
एक,14405
व्यक्ति,409
को,42138
गिरफ्तार,1425
करने,7394
बाद,8305
किया.,1919
आशंका,239
है,16578
कि,25318
किसी,2614
घटना,1370
अंजाम,473
देने,1735
लिए,11828
लाया,165
गया,6678
था.,6915
रक्षा,264
विभाग,597
प्रवक्ता,307
जानकारी,1349
देते,781
हुए,5600
बताया,3196
पर,25920
शुक्रवार,556
मरनई,1
इलाके,933
सर्च,124
शुरू,1980
किया,8815
इसी,1265
दौरान,2635
दल,532
संदिग्ध,199
कर,13849
लिया.,762
जिसके,883
पास,1904
आठ,223
किलोग्राम,19
गया.,2669
हवाले,160
रभा,1
किये,85
गये,89
संदेह,66
वह,3736
निचले,31
क्षेत्रों,155
विभिन्न,195
आतंकवादी,250
संगठनों,142
विस्फोटकों,5
आपूर्ति,44
करता,921
खेप,24
भी,17636
लाई,34
गई,3976
थी.,4451
लेकिन,5416
समय,1802
इस,14630
बरामदगी,16
वारदात,551
टल,31
गयी.,32
गए,2844
पूछताछ,654
रही,6186
है.,36670
राहुल,1039
संजय,570
सिंह,3198
का,27329
कहां,203
आएगा,50
आम,871
आदमी,638
पार्टी,3473
राज्यसभा,297
सांसद,669
कांग्रेस,3111
अध्यक्ष,1086
गांधी,1227
न्यूनतम,58
आय,107
योजना,522
सवाल,1200
उठाते,75
बताना,70
होगा,607
पैसे,315
जुटाएंगे,2
इसके,3614
उनका,1226
क्या,1737
प्लान,185
लोकसभा,887
चुनाव,2625
कई,3402
राजनीतिक,522
रहे,6013
गुरुवार,551
उठा,191
दिए.,171
उन्होंने,5437
पूछा,372
पैसा,201
कहा,8426
गरीबों,59
ऐसी,736
कोई,3232
आए,908
तो,7882
अच्छी,385
कहना,1040
बयान,1044
ऐसे,1717
मौके,725
आया,850
जब,2831
लोक,111
सभा,160
दिल्ली,3941
बीच,2361
गठबंधन,402
चर्चा,730
चल,1050
बता,1470
दें,1197
न्याय,161
अंतर्गत,57
