matra,frequency
ा,702633.0
ि,314944.0
ी,370764.0
ु,114265.0
ू,50720.0
े,552469.0
ै,116159.0
ो,224443.0
ौ,17233.0
ं,316526.0
ः,484.0
ँ,82.0
ृ,3688.0
