matra,frequency
ा,588680.0
ि,262305.0
ी,311004.0
ु,95831.0
ू,42251.0
े,461610.0
ै,96574.0
ो,187422.0
ौ,14316.0
ं,264607.0
ः,448.0
ँ,81.0
ृ,3171.0
