ending,frequency
रहीं,57
किया,1623
है,30877
हैं,12922
हो,338
रहें,49
आईं,62
पहना,5
था,5908
जाए,357
खास,19
थी,3899
की,1283
दिया,1666
थे,2861
उतारेगी,5
देंगे,186
मो,19
रहा,286
दी,1040
गई,1484
बचे,3
लिया,610
जाता,33
पाया,48
लेंगे,89
जाएगा,903
जाएगी,448
बंधाया,1
ने,23
ही,25
होगी,770
कीजिए,17
अलापेंगे,1
जारी,3
सकती,55
पाजी,1
प्यार,2
साहब,2
आर,18
एस,17
हुआ,516
बंद,3
दो,25
थीं,477
नहीं,354
दिन,5
चाहिए,819
रही,187
पहुंचाना,3
से,36
मिली,134
पहुंचाया,17
गया,2270
करेगा,145
गए,1075
ना,4
तैयारी,1
हुए,210
बनेगा,27
सके,225
सकते,63
होगा,955
मिलेगा,170
,365
बताया,123
लगा,115
चलेगा,45
लेंगी,18
बैठी,1
करेंगी,73
रहेंगे,114
रहेगा,142
डाले,12
रहे,356
करें,324
आसिम,1
हुए..,1
करेंगे,510
मिलीं,21
मिला,192
रखें,52
पाते,13
रहेंगी,22
निकाली,15
हुई,484
जाएगे,1
जायेंगे,4
होंगे,344
लगे,155
डाला,90
बचाई,3
पीटा,24
रहता,6
ली,301
पी,56
एम.बी,1
किए,146
रणबीर,2
विजेता,1
फौज,1
सकें,80
बने,68
दागे,6
बनेंगे,13
कहेंगे,7
जाएंगे,248
मिलेगी,97
लगेगी,16
कमाए,10
घटी,7
वसूली,3
करवाई,19
रखी,40
आया,153
करेगी,223
हूं,543
निकालेगी,3
बचेगा,3
लगेगा,48
श्रीसंत,2
साथ,19
आई,111
मुंबई,1
न,6
कही,60
साधा,52
आंदोलन,4
शब्द,1
बदली,1
पात,1
रखा,56
पाए,51
हुईं,44
जाएं,64
निकली,22
आए,181
देखती,2
दिखाते,1
भरोसा,1
ओ,8
उभरेंगे,2
जानकारी,2
शुभकामनाएं,6
बातें,5
सीखा,2
किये,3
कहलाए,2
करूंगा,36
हत्या,2
दिखी,15
गाना..,1
दिखेगी,7
दिखेंगे,23
घूमेगी,2
हार,3
लगी,102
सकता,137
काटूंगा,1
जाऊंगा,10
निकाला,25
देंगी,34
डाली,37
उठाया,43
लीजिए,26
करे,75
बोला,49
जताई,18
देखेगा,3
पहुंचाएंगे,4
देगी,77
उठाए,18
बनाए,23
जाएंगी,46
आएंगी,104
आएगा,73
..,21
अगस्त,1
