halfLetter,frequency
ब्,4400
क्,28234
फ्,4544
श्,6869
र्,43013
प्,21467
द्,9332
न्,14519
ल्,14674
स्,30467
ग्,7333
थ्,463
ष्,4830
ख्,3933
ट्,10163
व्,2485
त्,22436
ध्,3034
ह्,357
ज्,5453
म्,4830
य्,60
च्,3881
ड्,1782
छ्,3
भ्,371
ण्,126
ु्,11
घ्,60
ठ्,31
े्,2
ि्,17
ञ्,1
उ्,1
ी्,2
ू्,3
ै्,3
ृ्,2
ढ्,1
