vyanjan,frequency
क,490369.0
ख,36794.0
ग,103126.0
घ,9387.0
ङ,0.0
च,52132.0
छ,13894.0
ज,120804.0
झ,4407.0
ञ,671.0
ट,76791.0
ठ,8216.0
ड,50021.0
ढ,4545.0
ण,11559.0
त,185388.0
थ,39789.0
द,135397.0
ध,27118.0
न,283386.0
प,164960.0
फ,39885.0
ब,122735.0
भ,42799.0
म,232303.0
य,142055.0
र,443904.0
ल,213192.0
व,112701.0
श,61613.0
ष,18681.0
स,275944.0
ह,256175.0
