swar,frequency
अ,47403.0
आ,43248.0
इ,43113.0
ई,29784.0
उ,34514.0
ऊ,1240.0
ए,64852.0
ऐ,4404.0
ओ,6273.0
औ,26337.0
अं,3153.0
अः,0.0
ऋ,251.0
