monogram,frequency
न,1227
आ,1820
ं,1
व,278
.,247
ए,86
द,177
ई,18
ब,5
क,6
ओ,13
ऐ,2
अ,8
ख,3
।,17
उ,1
ग,1
ह,2
छ,1
ट,2
औ,4
घ,8
थ,1
ा,1
