word,frequency
ब्रेकअप,57
के,73723
बाद,7079
अपने,4461
एक्स,72
रणबीर,244
परिवार,1048
से,30445
है,13924
कटरीना,153
का,22969
रिश्ता,91
लंबे,197
अरसे,25
कैफ,82
और,25994
कपूर,797
अफेयर,39
की,45891
चर्चाएं,13
में,56066
रहीं.,53
यह,4933
प्यार,310
भी,14705
परवान,8
नहीं,10497
हाल,789
ही,8861
इस,12282
कपल,56
ने,31483
फैसला,777
किया.,1607
को,35384
लेकर,3071
अब,3463
किसी,2107
मन,164
कोई,2694
आशंका,203
है.,30547
जगजाहिर,15
हो,6990
चुका,521
कि,21210
दोनों,1991
अलग,554
चुके,735
हैं.,12762
लेकिन,4535
आपको,937
जानकार,18
हैरानी,47
होगी,318
कैट,9
अभी,1094
फैमिली,77
टच,31
जी,510
जाहिर,230
काफी,1362
मुश्किल,249
होता,984
खासतौर,33
तब,722
जब,2390
लगभग,289
सालों,211
तक,3929
रिलेशनशिप,59
रहा,4357
हो.,328
लगता,469
उन,697
लोगों,3397
हैं,4830
जो,2771
न,1227
बचा,95
पाने,169
गम,14
जीते,58
रहें.,47
बात,3146
संबंध,382
पर,21669
बहन,252
रिद्धिमा,12
वो,2545
लगातार,712
नई,534
जूलरी,3
लाइन,145
एक,12037
नेकलेस,1
झलक,45
दिखाने,103
लिए,9760
सबसे,1486
पहले,4035
सामने,1604
आईं.,62
बनाया,483
हुआ,1909
पेंडेंट,2
उन्होंने,4491
फिल्म,3885
प्रमोशनल,12
इवेंट,87
दौरान,2209
पहना.,5
वही,197
पेन्डेन्ट,2
जिसे,369
इंस्टाग्राम,178
जरिए,627
एडवर्टाइस,1
किया,7262
था.,5861
ऐसा,1204
सकता,1321
शायद,206
ये,4387
कुछ,3167
ऐसे,1445
संकेत,159
हों,80
रिश्ते,155
फिर,1851
गर्माहट,3
वापस,419
आ,1820
जाए.,350
सरकार,4581
सिंगर,95
विशाल,135
ऋषि,114
नीतू,28
रखी,254
प्रार्थना,35
सभा,153
रैप,24
जानें,123
समेत,448
रविवार,496
दिन,1929
एंटरटेनमेंट,52
दुनिया,660
क्या,1417
खास.,16
ददलानी,8
स्वास्थ्यकर्मियों,2
पुष्पवर्षा,2
गए,2359
दूसरी,646
तरफ,719
प्रार्थन,1
थी.,3878
हौसले,23
सलाम,16
करने,6194
भारतीय,1132
सेना,667
अस्पतालों,43
निर्णय,136
सुबह,623
देश,2193
तमाम,381
वायुसेना,63
पुष्णवर्षा,1
की.,1272
प्रतिक्रिया,109
आई,847
तरीके,365
प्रति,406
अपना,1217
गुस्सा,124
प्रकट,27
शख्स,398
तहत,715
अरुण,204
गोविल,17
पूछा,320
आपना,4
हमारे,508
बचपन,74
शानदार,199
बना,779
दिया.,1656
मुझे,984
बताइए,4
आपका,155
कैसा,52
इसका,666
जवाब,767
देते,644
हुए,4579
प्रभु,32
आशीर्वाद,52
भरा,71
हम,1527
लोग,1756
रोज,148
रामायण,73
पाठ,23
करते,2498
थे.,2846
जय,46
श्री,68
एक्ट्रेस,424
आलिया,203
भट्ट,164
लुक,222
चलते,597
अक्सर,180
सुर्खियों,99
रहती,277
फैन्स,149
उनके,2719
इसी,1056
अंदाज,164
पसंद,371
कोरोना,508
वायरस,253
विरुद्ध,11
आगे,853
कैंपेन,70
साथ,6604
जिसमें,970
वह,3162
खिलाफ,2069
फंड,88
इकट्ठा,56
कर,11754
रही,5226
सोशल,705
मीडिया,1066
इन,1798
फैंस,180
मानें,173
तो,6679
राजामौली,6
सिनेमाई,4
पर्दे,98
बखूबी,26
दिखा,126
सकते,1079
क्योंकि,904
वे,1620
इससे,1422
भव्य,24
धारदार,26
एक्टिंग,123
सिनेमाटोग्राफी,2
लबरेज,2
बाहुबली,88
जैसी,294
बेहतरीन,111
फिल्में,177
दर्शकों,167
दे,1123
यही,555
कारण,747
ट्विटर,296
हैशटैग,9
ट्रेंड,49
ं,1
इरफान,48
खान,1321
गुजर,68
जाने,1708
इंडस्ट्री,156
दुनियाभर,78
झटका,90
लगा,915
उन्हें,2422
याद,265
रहे,5126
