digram,frequency
से,25277
और,21517
की,37466
पर,17805
के,60571
को,28944
इस,10021
जन,47
ने,25556
कर,9480
दी,2148
तय,414
जा,3349
कि,17432
वह,2595
दो,1754
यह,4038
है,11583
का,18903
भी,12006
वो,2049
कई,2363
ही,7323
मन,145
था,2152
ले,909
मर,31
हम,1258
लग,328
गए,1923
उस,1069
जो,2313
एक,9868
ये,3599
या,1255
आप,1192
कह,338
अब,2859
जब,1978
तक,3261
सच,120
हो,5693
गई,2666
बन,476
जय,36
तब,546
ओर,869
सह,29
तो,5583
आज,845
चल,724
छह,210
घर,1446
शव,320
थी,960
ली,424
आए,605
इन,1505
थे,659
मई,363
कम,922
नई,440
ढा,3
जल,96
खा,37
बह,16
भर,287
वे,1385
डर,194
नौ,117
रख,175
वन,127
हर,1005
उन,622
नए,552
टन,39
ई.,4
ना,435
धो,8
आठ,168
कप,92
आई,639
री,1
रह,386
गज,9
शह,9
आर,33
दे,933
मच,68
यस,16
शो,648
लव,131
आग,224
छू,23
पल,39
आम,603
सो,56
पद,366
दस,97
सब,392
टच,27
अल,30
यू,26
दल,385
रच,21
ऋण,15
हद,65
ला,62
दर,111
शक,144
तह,11
पथ,8
नह,1
बल,151
छत,25
जी,412
पी,73
मत,69
बस,293
उठ,48
आश,1
कब,100
कल,143
एज,5
टु,3
डल,1
खो,51
दम,119
ऊब,1
डे,95
हग,2
भय,15
जज,105
ए.,20
रण,11
मे,126
एस,65
बठ,1
रस,17
बज,17
सा,81
रो,7
इज,11
फल,40
थक,8
ठप,14
हल,45
एल,15
फर,2
फट,6
तट,32
सौ,64
कस,9
टल,23
हट,27
घट,12
हक,83
एम,42
टफ,4
ओए,4
सी,142
उप,49
जे,23
कद,16
रे,13
रन,91
रथ,20
ओम,58
आल,6
शी,23
बी,70
ईद,44
नम,5
दि,6
सर,54
ढह,2
एड,10
यो,2
कट,29
आय,58
जव,1
एप,42
प्,2
टी,26
बम,136
लद,2
धन,86
जद,4
..,24
ठग,11
छः,1
फन,5
पा,159
लौ,5
हस,1
थम,14
प.,1
खत,16
वी,18
ऐन,9
डी,41
मऊ,16
दब,2
हब,5
रु,5
रू,1
बच,61
सू,15
ची,8
नव,6
टू,27
झा,41
पच,2
ऐश,9
उर,3
उल,11
यश,9
रद,1
रट,2
जप,4
भं,1
नः,1
घी,13
भट,15
जस,4
तस,4
टस,1
मस,1
पन,1
अप,16
गत,13
एच,14
एन,26
छा,14
ता,1
गा,15
ठन,5
ऐप,144
लत,14
धक,1
औप,3
धर,17
लो,21
गो,9
गन,14
खस,2
न.,6
एट,2
जग,3
घई,15
गे,4
पे,12
मद,5
गम,9
ऐज,3
वर,3
दु,1
डब,6
नो,18
आफ,5
नी,3
ओ.,7
डा,4
नल,4
छप,2
ओड,1
सन,9
आस,16
खल,3
नन,13
एव,1
तू,6
बा,5
गल,1
उद,2
नय,1
डच,2
ईज,2
भो,1
जच,1
मठ,5
यक,1
पो,6
चे,3
द.,23
चक,4
भू,3
रग,3
हए,2
लय,4
कण,3
डो,2
ऐड,25
भा,4
लू,36
डग,3
लि,1
तल,3
गप,1
बू,3
गौ,5
वि,1
लए,1
शत,1
यद,1
हफ,2
वध,3
मा,1
डट,3
गण,12
इल,3
एफ,6
सम,4
टब,1
तन,6
कफ,1
हे,3
पब,13
बढ,1
सई,6
मग,1
बे,2
मी,5
बग,2
डन,1
शू,1
झट,3
लक,2
यी,1
ढक,5
सज,3
इव,2
रा,1
छठ,2
बट,3
ठा,2
त।,1
आन,1
दौ,1
घन,2
उग,1
शट,1
आओ,2
जौ,2
ब्,1
धम,1
वू,3
जम,3
कश,1
रब,1
रल,1
रफ,1
वश,1
नस,1
ते,1
मै,1
पक,1
भई,1
डू,2
डु,5
ओट,1
गं,1
मय,1
डि,1
नं,1
दा,1
ईट,2
दह,1
नच,3
फी,2
ढो,1
शा,1
आध,1
गढ,1
जै,1
।।,1
तर,1
सथ,1
छे,1
हज,3
मध,1
छग,1
पग,1
