swar,frequency
अ,38855.0
आ,34882.0
इ,35119.0
ई,24356.0
उ,28348.0
ऊ,1030.0
ए,53483.0
ऐ,3666.0
ओ,5212.0
औ,21820.0
अं,2620.0
अः,0.0
ऋ,206.0
