matra,frequency
ा,482554.0
ि,214892.0
ी,254042.0
ु,78522.0
ू,34551.0
े,378545.0
ै,79363.0
ो,154036.0
ौ,11814.0
ं,217677.0
ः,378.0
ँ,69.0
ृ,2631.0
