monogram,frequency
आ,1477
न,1051
.,200
द,152
व,203
ओ,18
।,17
ए,87
ई,12
ऐ,5
ब,5
ॐ,2
ज,1
ह,3
म,1
ं,1
क,4
अ,6
ख,3
उ,1
ग,1
छ,1
ट,1
औ,1
घ,8
थ,1
