halfLetter,frequency
प्,17526
र्,34887
न्,11892
ष्,4017
ध्,2469
क्,22783
म्,3994
ग्,5933
ल्,11801
स्,24990
त्,18233
च्,3005
श्,5599
ट्,8145
द्,7537
ज्,4560
भ्,308
ब्,3557
ख्,3216
फ्,3785
ड्,1446
व्,2016
थ्,354
ह्,260
घ्,47
ु्,8
य्,51
ठ्,17
ण्,96
झ्,1
ञ्,2
ि्,16
ू्,3
छ्,3
े्,2
उ्,1
ी्,1
ै्,1
ृ्,2
