matra,frequency,probability
ा,464.0,0.3561013046815042
ि,20.0,0.015349194167306216
ी,2.0,0.0015349194167306216
ु,144.0,0.11051419800460476
ू,3.0,0.0023023791250959325
े,153.0,0.11742133537989255
ै,23.0,0.017651573292402148
ो,261.0,0.2003069838833461
ौ,4.0,0.0030698388334612432
ं,131.0,0.10053722179585571
ः,98.0,0.07521105141980046
ँ,0.0,0.0
ृ,0.0,0.0
