ngram,frequency,probability
ा,94206,0.09961562660265731
त,75517,0.07985344112002284
र,70365,0.07440559588450822
म,54152,0.057261590681985206
ि,52648,0.0556712259237915
न,49210,0.05203580435552689
व,49110,0.05193006201788103
स,45525,0.04813919921327701
य,43565,0.046066649395418185
प,30142,0.03187285541321462
ु,29542,0.03123840138733947
ं,28981,0.030645186873146206
क,28107,0.029720998842121402
े,25959,0.027449653429488366
द,25283,0.026734835227002363
श,20556,0.02173639492648264
ष,17260,0.01825112747767515
ह,16974,0.017948704392007995
च,16808,0.01777317211151587
ो,15662,0.016561364922094333
ः,13743,0.014532169462670311
ी,12714,0.013444080808294429
भ,12410,0.01312262410185102
ग,11828,0.012507203696752124
ल,11171,0.011812476538418834
ज,11043,0.011677126346232136
ण,10527,0.011131495883979508
ध,9065,0.009585542907597059
ृ,8469,0.008955318575227742
थ,7227,0.007641998741666182
ै,7022,0.0074252269494921724
ू,5815,0.006148916934106663
ब,5363,0.005670961567947382
ौ,3345,0.0035370811942539615
ट,3128,0.003307620321562449
अ,2969,0.003139490004705534
ऽ,2763,0.002921660789155066
ञ,2482,0.002624524820370204
घ,2481,0.002623467396993745
ङ,2357,0.002492346898312881
ख,2246,0.0023749729035259784
छ,1483,0.001568158867288079
इ,1164,0.001230840810197791
ठ,1073,0.00113461528294006
ए,926,0.0009791740466006482
ड,815,0.0008618000518137455
उ,747,0.0007898952622145618
आ,744,0.000786722992085186
फ,422,0.0004462326648655222
ढ,238,0.0002516667635971428
ऋ,180,0.000190336207762545
ऊ,54,5.71008623287635e-05
ई,28,2.9607854540840334e-05
ऐ,28,2.9607854540840334e-05
झ,27,2.855043116438175e-05
औ,16,1.6918774023337333e-05
ओ,7,7.401963635210084e-06
ँ,3,3.1722701293757502e-06
