ngram,frequency,probability
रा,13039,0.019337663878507445
ान,10938,0.016221747641929168
वा,10343,0.01533932490953313
या,9763,0.014479148128373968
ता,9596,0.014231476537936763
ित,9186,0.013623420537462181
ाम,8955,0.013280832888414308
मा,8876,0.013163670878566767
वि,8152,0.012089932965533606
ां,6363,0.009436732514682328
ना,6325,0.009380376104882245
ति,6191,0.009181645607166163
ार,5839,0.008659607284807498
ात,5705,0.008460876787091415
नि,5607,0.008315536572343834
ते,5257,0.007796464376816753
रि,4515,0.006696031322299342
मि,4462,0.006617428961262384
ास,4326,0.006415732336714718
का,4249,0.00630153645369876
तु,3892,0.005772082814261138
ुर,3724,0.005522928160408139
मह,3685,0.005465088687192264
हा,3401,0.005043898677107433
रु,3393,0.0050320341697811
िन,3292,0.004882244764786142
ृत,3244,0.0048110577208281425
सा,3236,0.004799193213501809
सु,3227,0.004785845642759684
िर,3185,0.004723556979296435
ेन,3144,0.0046627513792489765
ुत,3141,0.004658302189001601
मु,3126,0.004636056237764727
रम,3109,0.004610844159696269
िव,3099,0.004596013525538352
सम,3097,0.004593047398706768
िष,3067,0.004548555496233019
मन,3061,0.004539657115738269
यत,3053,0.0045277926084119355
पु,3053,0.0045277926084119355
तं,3038,0.004505546657175061
तस,3022,0.004481817642522395
ाक,2985,0.004426944296138103
तम,2964,0.004395799964406478
तत,2866,0.0042504597496588956
पर,2819,0.004180755769116687
ाद,2819,0.004180755769116687
ाप,2718,0.00403096636412173
पा,2711,0.004020584920211188
यं,2706,0.0040131696031322295
वर,2644,0.003921219671353147
पि,2618,0.0038826600225425638
ाय,2593,0.0038455834371477725
रत,2557,0.0037921931541792728
मे,2547,0.003777362520021356
भि,2544,0.0037729133297739813
ाव,2527,0.0037477012517055227
था,2517,0.0037328706175476065
तो,2504,0.003713590793142315
ाज,2493,0.0036972770955686065
वे,2475,0.0036705819540843567
तः,2461,0.0036498190662632734
ाः,2451,0.0036349884321053567
दा,2446,0.0036275731150263984
ाश,2430,0.003603844100373732
ये,2348,0.003482232900278816
रे,2343,0.0034748175831998576
सर,2305,0.0034184611733997744
णा,2257,0.003347274129441775
हि,2188,0.0032449427537521503
दि,2162,0.0032063831049415673
ीत,2160,0.003203416978109984
वन,2142,0.003176721836625734
रव,2102,0.0031173992999940676
िश,2082,0.0030877380316782347
यम,2064,0.003061042890193985
ेव,2054,0.003046212256036068
रस,2034,0.003016550987720235
री,2031,0.00301210179747286
नु,2025,0.00300320341697811
ेष,2010,0.0029809574657412353
चि,2005,0.002973542148662277
कृ,2002,0.0029690929584149017
यो,2000,0.0029661268315833186
जा,1999,0.002964643768167527
रं,1972,0.002924601055941152
दे,1950,0.0028919736607937356
यु,1932,0.002865278519309486
ाल,1925,0.002854897075398944
ुम,1907,0.002828201933914694
ाण,1894,0.0028089221095094026
रो,1882,0.002791125348519903
यस,1854,0.0027495995728777363
नं,1835,0.0027214213679776947
वी,1803,0.0026739633386723615
िद,1792,0.0026576496410986535
चा,1763,0.0026146408020406952
सि,1743,0.002584979533724862
ीर,1701,0.0025226908702616125
वत,1699,0.002519724743430029
