digram,frequency
को,26944
के,56040
एक,9075
कि,16000
से,23525
ने,23600
वो,1927
है,10675
और,19809
तो,5100
ठग,13
कर,8726
अब,2633
तक,2990
ही,6790
आए,562
का,17517
की,34573
इस,9289
कई,2196
भी,11144
ले,819
जब,1839
शक,138
पर,16327
हो,5322
दे,867
दी,1973
या,1173
जा,3100
वह,2355
उस,1005
गए,1786
वे,1224
रह,363
दल,359
ओर,831
हम,1111
बन,453
था,1959
तब,502
दो,1613
घर,1330
बच,55
यह,3695
छह,206
दम,114
कम,862
आई,600
नए,525
आप,1065
इन,1379
ये,3358
कह,323
जो,2159
आज,790
सच,110
गई,2501
थी,861
उठ,51
हर,902
पी,75
आठ,151
रख,163
आम,532
ली,384
उन,579
ईद,47
जे,19
भर,262
नई,413
तय,391
डर,171
धर,20
बस,256
चल,655
कप,81
ऐड,23
बी,63
जग,4
शो,610
ना,385
घट,13
शी,21
थे,615
जी,385
पा,143
जल,88
नभ,1
मई,338
धन,84
मन,137
पद,325
सब,358
टू,28
शव,267
जज,104
ओम,47
लो,20
हल,42
हक,79
छठ,8
लग,310
कस,10
मे,115
हट,26
खा,35
ला,55
टी,25
एस,56
आस,13
नच,6
जय,36
हद,59
लव,132
खत,24
छू,21
कट,24
मत,55
अम,1
दर,95
आग,229
डे,90
लत,11
एम,40
मच,64
यू,27
दस,93
बल,128
सौ,60
कण,3
सह,25
पच,3
नौ,107
बम,138
बज,17
सा,73
जद,5
कल,128
मऊ,15
आन,2
यस,17
ऐप,141
सी,128
घी,14
धो,9
सो,51
वी,19
गम,9
पू,1
कब,91
अल,26
टफ,4
एच,15
डी,39
कद,19
लय,7
रन,90
नो,18
उप,54
हू,1
जन,40
आफ,6
आय,52
ओ.,8
खो,46
गे,4
नन,15
पब,31
छत,27
मी,5
एप,41
तन,7
सर,53
भय,16
मर,23
ढा,3
बह,14
वन,115
टन,32
ई.,4
री,1
गज,9
शह,8
आर,31
पल,37
टच,24
रच,19
ऋण,13
तह,11
पथ,6
नह,1
आश,1
एज,4
टु,2
डल,1
ऊब,1
हग,2
ए.,19
रण,10
बठ,1
रस,9
रो,7
इज,8
फल,37
थक,8
ठप,11
एल,15
फर,2
फट,3
तट,26
टल,23
ओए,4
रे,12
रथ,20
आल,5
नम,5
दि,4
ढह,2
एड,9
यो,2
जव,1
प्,2
लद,1
..,16
छः,1
फन,5
लौ,5
हस,1
थम,14
प.,1
ऐन,9
दब,2
हब,4
रु,5
रू,1
सू,15
ची,8
नव,6
झा,34
ऐश,9
उर,3
उल,8
यश,9
रद,1
रट,1
जप,4
भं,1
नः,1
भट,15
जस,3
तस,3
टस,1
मस,1
पन,1
अप,10
गत,10
एन,25
छा,14
ता,1
गा,9
ठन,5
धक,1
औप,3
गो,8
गन,12
खस,2
न.,4
एट,2
घई,14
पे,8
मद,5
ऐज,3
वर,2
दु,1
डब,5
नी,3
डा,4
नल,4
छप,1
ओड,1
सन,7
खल,3
एव,1
तू,6
बा,2
गल,1
उद,2
नय,1
डच,2
ईज,2
भो,1
जच,1
मठ,5
यक,1
पो,5
चे,3
द.,1
चक,4
भू,3
रग,3
हए,2
डो,2
भा,4
लू,36
डग,3
लि,1
तल,3
गप,1
बू,3
गौ,5
वि,1
लए,1
शत,1
यद,1
हफ,2
वध,2
मा,1
डट,3
गण,11
इल,1
एफ,6
सम,2
टब,1
कफ,1
हे,1
बढ,1
सई,6
मग,1
बे,2
बग,1
डन,1
शू,1
झट,3
लक,2
यी,1
ढक,4
सज,3
इव,2
रा,1
बट,3
ठा,2
त।,1
दौ,1
घन,2
उग,1
शट,1
आओ,2
जौ,2
ब्,1
धम,1
वू,3
जम,3
कश,1
रब,1
रल,1
रफ,1
वश,1
नस,1
ते,1
मै,1
पक,1
भई,1
डू,2
डु,2
ओट,1
गं,1
मय,1
डि,1
नं,1
दा,1
ईट,2
दह,1
