monogram,frequency
न,976
आ,1336
व,185
.,189
झ,1
ल,1
क,5
द,136
ओ,17
।,13
ए,68
ई,10
ऐ,5
ब,5
ॐ,2
ज,1
ह,3
म,1
ं,1
अ,6
ख,3
उ,1
ग,1
छ,1
ट,1
औ,1
घ,8
