ending,frequency
थी,2886
था,4389
होगा,697
है,23284
हुआ,401
दिया,1228
एजेंसी,1
गए,846
देगा,58
गई,1154
रहा,222
लिया,446
सके,189
की,990
देंगे,155
थे,2155
जताया,15
जाएगा,657
हैं,9857
मनाया,13
दिए,109
बताया,105
किया,1220
हुए,176
होगी,522
गया,1702
निकला,27
दीं,26
लेंगे,69
सकते,55
कैसे.,1
आया,117
दिखेगा,9
सकेंगे,51
करेगी,143
होंगे,237
मिलेगा,123
चाहिए,648
हुई,373
नहीं,283
करता,15
दी,765
मिलेंगे,32
करे,63
कहा,82
लगी,70
आई,87
जाएं,64
जाएंगे,174
जी,11
रहे,260
मिलेगी,72
आएंगे,125
करेंगे,396
मिली,111
आएगी,38
रखी,34
मिलती,5
कही,40
करेगा,109
बनायेगा,1
लगेगा,36
करें,281
रहेंगे,79
हो,236
,270
क्या,29
दें,107
आए,150
जाएंगी,36
ली,236
निकाला,21
डा,4
लगा,95
हों,47
लगे,119
मिला,135
गईं,86
प्रियंका,1
एम.एम,3
पहुंचे,141
जाएगी,332
साधा,33
देगी,63
केरोसीन..,1
अपनाई,2
रहो,4
रहते,5
मानते,7
हूं,404
सकता,91
बोले,4
का,51
बनेगी,9
दिखाएगी,2
निभाएगा,1
रहीं,54
मानती,1
सुनाया,13
होंगी,58
उठाया,31
बोला,30
जाता,26
रोकेंगे,2
थीं,359
दिखाई,13
मांगेंगे,5
चला,17
लिए,65
धमकाया,3
रखा,43
रोया,4
मांगी,9
समझया,1
जाए,272
पुलिस,3
लाई,5
जताई,14
भी,45
अपनाएं,1
अपनाएंगे,2
बरतेंगे,1
सकें,63
गांधी,2
लगाया,50
चूकी,1
मिलीं,18
नौटंकी,1
रही,136
उठाता,2
के,36
बुलाया,23
पहुंची,54
मिले,85
कराया,39
कराई,38
वृद्धि,2
मांगा,7
रु,60
है..,43
जीता,10
सकेगा,37
कदम,1
पहुंचा,30
करते,30
लिखे,4
मुझे,1
पर,20
उतरा,4
बटोरी,2
डाली,26
आता,14
