swar,frequency
अ,35897.0
आ,32169.0
इ,32422.0
ई,22564.0
उ,26195.0
ऊ,930.0
ए,49452.0
ऐ,3440.0
ओ,4794.0
औ,20091.0
अं,2410.0
अः,0.0
ऋ,219.0
