matra,frequency
ा,446812.0
ि,198647.0
ी,234587.0
ु,72627.0
ू,31796.0
े,349678.0
ै,73487.0
ो,142930.0
ौ,10851.0
ं,201663.0
ः,352.0
ँ,72.0
ृ,2446.0
