halfLetter,frequency
फ्,3504
ल्,11025
ख्,2951
स्,23083
म्,3690
ट्,7599
क्,20898
र्,32033
ब्,3312
भ्,303
ष्,3662
श्,5204
न्,11000
द्,6979
व्,1900
ज्,4255
त्,16730
प्,16067
ि्,6
ग्,5520
ध्,2344
ड्,1370
च्,2711
ह्,245
थ्,312
घ्,56
ण्,84
ठ्,16
ु्,6
य्,42
झ्,1
ञ्,2
ू्,3
छ्,3
े्,2
उ्,1
ी्,1
ै्,1
