matra,frequency,probability
ा,4249.0,0.34991353042905377
ि,885.0,0.07288149551181751
ी,366.0,0.03014082187268385
ु,1659.0,0.13662192209503418
ू,188.0,0.015482170797990611
े,1011.0,0.0832578440253644
ै,417.0,0.034340772461500454
ो,568.0,0.046775920283290785
ौ,305.0,0.025117351560569875
ं,362.0,0.029811413983364902
ः,131.0,0.010788108375195586
ँ,0.0,0.0
ृ,2002.0,0.16486864860413408
