matra,frequency,probability
ा,10343.0,0.3715024604001293
ि,8152.0,0.29280557451240974
ी,1803.0,0.06476060486333106
ु,133.0,0.004777127258359973
ू,4.0,0.00014367300025142776
े,2475.0,0.08889766890557092
ै,1017.0,0.03652886031392551
ो,550.0,0.019755037534571317
ौ,94.0,0.003376315505908552
ं,1694.0,0.060845515606479654
ः,391.0,0.014044035774577062
ँ,0.0,0.0
ृ,1185.0,0.04256312632448547
