swar,frequency
अ,29265.0
आ,26079.0
इ,26967.0
ई,18747.0
उ,21825.0
ऊ,728.0
ए,40552.0
ऐ,2920.0
ओ,4013.0
औ,16452.0
अं,2006.0
अः,0.0
ऋ,146.0
