vyanjan,frequency
क,306251.0
ख,22547.0
ग,64101.0
घ,5569.0
ङ,0.0
च,31991.0
छ,8428.0
ज,75914.0
झ,2603.0
ञ,401.0
ट,47077.0
ठ,5129.0
ड,30588.0
ढ,2801.0
ण,6993.0
त,115743.0
थ,24397.0
द,84928.0
ध,16898.0
न,176653.0
प,102282.0
फ,25022.0
ब,76883.0
भ,26809.0
म,145387.0
य,87883.0
र,276126.0
ल,133436.0
व,69630.0
श,38335.0
ष,11409.0
स,172293.0
ह,160467.0
