ending,frequency
हैं,8191
है..,34
है,19512
वर्मा,1
सके,158
की,767
हुई,296
जाएगा,522
होगी,435
थी,2434
पाए,42
थे,1753
लगाया,35
चाहिए,543
साधा,34
लगाए,30
जाए,222
हो,199
था,3662
हुए,139
कहा,70
दिया,1012
लिया,373
लगा,88
गए,667
आई,81
करेगी,115
रहेगा,77
कास्ट,2
पहुंचे,122
किया,1001
गई,949
देखकर,2
हूं,310
हुआ,321
रहीं,49
करें,238
आए,135
,189
देगी,49
सकें,50
डालें,4
करेगा,96
गया,1421
जाएंगी,33
होंगी,49
बोला,25
पहुंचीं,15
करे,54
होता,40
बताया,82
पहुंचा,20
खोला,2
मिले,72
बुलाई,4
कराया,30
थीं,316
हैं..,20
जी,8
टी,2
दी,599
झुके,1
रहे,211
में,57
बनाया,44
देगा,50
रहा,186
नहीं,218
होगा,542
के,26
दें,88
जे,7
ई,4
ओ,6
बांटी,3
अंदाज,4
होंगे,192
मिलेगा,100
रिएक्शन,1
करेंगे,353
आएंगे,96
लेंगे,54
पाएंगे,53
ऐलान,1
जाना,3
गुजारा,2
किए,109
मारे,5
सिया,1
मांगा,5
मां,3
गोदा,1
धोया,1
लगे,91
आया,94
जीता,12
शो,2
चलेगा,24
करेंगी,55
आएंगी,57
बताएंगे,7
दिए,93
मिलता,8
रही,128
सका,31
पाया,32
आएगा,42
उतरे,6
कीमत,1
सम्मान,2
इंतजाम,1
दिलवाया,1
जाएंगे,138
पाता,11
जाएगी,266
देंगी,16
बने,44
मिला,108
डरते,2
सकता,75
करो,11
उठाया,26
सुना,4
यू,1
निकले,24
को....,1
टिप्स,1
अपनाएं,2
सुलझाएं,1
बरतें,2
जाएं,47
रुके,2
जताई,11
पीटा,17
गिराया,24
बनेंगी..,1
दिखाएगी,2
ही,11
आईं,43
संभाला,10
लगी,69
दे,22
लौटी,2
छुआ,4
कदम,2
चुना,12
प्रो,10
वाले,2
रहेंगे,69
रखते,3
बचाएं,2
दिलाएं,2
कीं,13
बात,6
मागी,1
जाती,6
कहूंगा,1
वाला,6
पता,8
व्यवहार,1
होती,25
करते,27
जाते,13
लगाई,20
मिलेगी,52
देंगे,130
पाईं,6
पाई,38
मिश्रा,1
लगीं,12
उठाई,4
ने,12
मिलेंगी,3
जियो,1
मिलेंगे,29
सकेंगे,44
स्टोरी,1
पाते,4
बनती,4
मिलीं,12
ली,186
का,43
घाट,3
जाप,2
चोरियां,2
लगता,6
अंजाम,2
सिंह,11
देना,4
रखी,28
दुकानदार,1
डाला,43
भी,33
लिए,55
लौटा,1
खुला,8
खुले,2
मिली,98
तो..,1
आएगी,35
उठेगा,2
लीजिए,15
कीजिए,10
लें,62
लगाएं,14
कोचलिन..,1
से,17
भूलेंगे,2
स्वागत,12
सम्बोधन,14
स्टेडियम,1
दिखे,27
शादी,3
बनी,10
रचाई,4
मामला,1
सुनाया,10
चाहेंगे,8
कराएगा,4
भरी,2
होंगीं,1
गईं,71
हुईं,30
पार्टनर,2
लगेंगे,8
अकेले,1
लौटे,5
खेली,3
आर.पी,7
टैटू,1
करना,14
निकाला,17
रची,6
संभालेंगे,5
खेलेगी,3
थिमैया,1
रखियेगा,1
बनायेगी,1
हों,46
भुनाएगी,1
सकती,29
दिखता,4
जताया,14
संभालिए,2
निर्माता,1
पहुंचेंगे,11
आलिया,2
पहुंचाईं,1
मानते,5
धन्यवाद,4
सुल्तान,1
उतारा,5
कांग्रेस,2
बनीं,10
चलाई,6
टटोलें,2
बगदादी,3
खाना,1
दिखाया,20
लेना,2
सकेगा,28
गया.,1
मिलती,5
कैमरे,1
आतंकी,2
भरा,4
धंसी,1
उठा,11
कहा..,1
जिम्मेवार,1
गौतम..,1
रोका,1
पहुंची,41
निकली,13
फंसाया,2
खेल,2
मांगे,3
निकाले,1
करवाया,13
दबोचा,8
उठाए,11
मिलूंगी,3
कैसे,4
चला,20
लूंगी,2
सीट,3
एस,9
पी,37
चटाई,1
उभरा,1
दोहराई,3
बेलसंड,1
पूछे,2
कमाए,11
रखिए,2
ने..,2
शुक्रिया,8
खींची,1
कहीं,6
आईसक्रीम,1
कहां,1
सौंपे,1
आर.के,4
जायेगा,6
सुनाई,21
रखा,31
शुरुआत,2
मर्दानी,1
कैसे..,1
चाहिए..,1
करता,14
कराते,1
दूसरा,1
सकते,43
बनेगी,8
फंसें,1
चाहती,5
सकीं,2
कराएगी,6
लहराएगी,1
खूबियां,1
देखेंगे,10
गयी,5
