matra,frequency
ा,367671.0
ि,163851.0
ी,193608.0
ु,59541.0
ू,26181.0
े,287665.0
ै,60711.0
ो,117492.0
ौ,8861.0
ं,166210.0
ः,247.0
ँ,45.0
ृ,1868.0
