triagram,frequency
लोग,1170
हुई,1329
में,35045
काम,1344
हुआ,1198
गया,3396
है.,19294
दौर,131
रही,3281
हैं,3011
मान,60
लिए,6190
कवर,28
बाद,4478
इसे,667
सके,42
गठन,79
अभी,718
कुछ,1979
सफल,121
तरह,1360
नाम,1150
शोध,56
कवि,17
तौर,482
उसी,247
आगे,506
इसी,718
हुए,2807
जगह,411
जिन,136
भनक,9
उसे,953
नाथ,22
जैन,38
बात,1822
साथ,4123
अलग,394
रखा,318
समझ,112
मदद,414
मिल,466
शाह,434
कहा,4263
देश,1437
गृह,283
की.,759
बीच,1284
एवं,174
लगे,254
साल,2017
बार,1542
दिन,1137
बता,782
दें,639
रहा,2816
भंग,19
थी.,2419
गिर,79
वजह,799
कोई,1676
खास,371
कमी,149
थे.,1747
अबु,28
रोक,215
सपा,187
लगा,540
जिस,429
दिए,539
वोट,376
कही,130
मैं,943
हूं,288
दूर,240
जाए,154
ऐसा,712
हो.,193
रहे,3200
पेश,323
था.,3636
सात,172
ढूढ,1
आया,446
नजर,857
आदि,55
तहत,414
संग,134
नगर,193
पास,933
लूट,86
गली,37
देख,233
शोर,35
खेल,162
गए.,664
सही,184
समय,943
आई.,80
सभी,998
हाल,453
रात,525
राव,67
बंद,444
लीड,70
रोल,260
आने,660
गई.,944
आते,178
फिर,1173
गलत,207
चुप,26
कपल,40
ऐसे,964
आए.,135
बने,239
तेल,104
असर,173
दाम,59
बना,524
तीन,742
भार,8
एवज,9
देर,248
शाम,234
चले,89
अंत,88
ठगी,48
यही,348
फंस,29
रकम,97
किए,790
हाथ,321
कुल,287
हाई,199
तरफ,427
बंध,8
खबर,405
महज,149
लाख,592
चीज,63
याद,148
कभी,389
दिल,156
खोज,30
घिर,13
उमा,37
बोट,10
माह,70
तभी,169
सफी,1
मौत,743
दबे,8
नया,273
सिर,132
चोट,85
बोन,2
छपी,23
राम,409
डेड,7
बजे,361
फोन,381
कार,305
छूट,49
एसी,6
लगी,226
खेर,47
दान,16
जी.,8
टी.,2
साई,4
रूप,577
कहर,48
दी.,597
ताक,7
मार,223
जेल,426
साफ,424
चार,489
भगत,27
बोस,26
गये,45
रेप,271
यौन,134
अगर,901
तंग,16
आकर,128
धार,11
उधर,38
चरण,94
कदम,284
अति,24
बदल,143
हों,61
करे,30
दिख,168
जोर,109
खुश,114
मदन,29
राय,213
के.,26
सोच,95
चयन,34
जे.,7
गीत,27
वजन,56
केक,4
काट,78
मेल,46
सफर,84
कूद,11
आईं,43
पति,253
पता,520
चला,305
एमओ,1
भेज,183
खुद,610
मिस,32
बिग,211
खान,743
फैन,49
लुक,178
थीम,5
बनी,239
चैट,33
विद,30
करण,116
बाई,26
सीन,73
अहम,257
लेक,4
अदा,49
गले,60
मना,91
आइए,51
असल,48
चाक,5
तुम,59
नेक,5
लगन,7
जोश,14
तथा,138
पाक,99
ऊपर,154
ठीक,227
वार,49
पेट,42
बहन,129
मां,422
रुख,97
मगर,174
सेब,6
चली,116
जाग,9
गौर,30
अगल,2
बगल,20
उठा,102
आना,71
बेड,10
रखी,166
गोद,26
चीख,8
सोई,1
आंख,35
पाई,108
गला,69
नही,60
पलट,27
बोल,109
खून,87
टीम,563
शो.,1
यंग,22
थीं,88
फेम,21
उरी,64
इंच,43
बेस,40
कडी,1
जान,236
डाल,83
चैन,13
घुस,36
पीठ,60
अंग,12
ऐसी,422
इेश,1
चीफ,139
जैश,21
ढेर,64
जून,194
फौज,30
पार,123
भरी,60
साठ,10
धान,6
बोझ,33
ऊंट,1
खरे,13
अथक,3
फसल,22
झूठ,26
उलट,20
गजब,17
बहल,22
अजय,111
सधी,1
नोट,148
चलन,9
नकल,6
रंग,116
नकद,7
नशा,13
डेथ,21
सजा,312
दया,18
छपे,8
भाग,126
दंड,19
कैद,62
असम,88
शहर,221
हिट,64
घोष,16
मुझ,17
रेड,52
जीत,364
गईं,62
यू.,1
दुख,50
तले,32
देव,49
जुट,45
घूम,20
मेन,16
आउट,62
गयए,1
भाई,273
करो,10
माफ,28
चीन,461
लेख,31
खली,14
चित,3
ही.,11
टूर,24
विन,9
किस,155
डेट,69
रेस,34
तेज,235
बजट,285
आती,142
नीत,6
सीट,427
खफा,17
पेच,5
बची,10
दे.,21
घटक,4
कौन,187
हरे,9
अंक,133
लाभ,109
शेष,14
टेक,17
कोल,7
मंच,101
असद,6
सका,26
बंट,12
आजम,49
गेट,37
मीट,9
थाम,6
खटक,1
राह,44
पीस,13
रजा,18
इतर,13
शेख,34
वही,109
बहु,2
काल,19
चंद,35
भूल,49
पाप,8
भोग,8
केस,538
छवि,62
ढंग,46
संघ,131
अटल,59
चूक,20
हित,29
उठी,16
हार,149
भाव,51
सबब,16
पशु,22
बाट,2
जोह,2
गाय,54
रोज,104
दूध,35
आता,128
अलख,1
शौच,18
दखल,34
भरे,43
एमए,4
लाए,24
चाय,58
उठे,20
राज,161
ईयर,20
ने.,12
सिम,12
इयर,3
मनी,22
होम,82
सेट,83
सेव,13
बउआ,10
कैफ,54
बहस,99
छठे,10
डरे,12
बाल,88
उपज,5
सेल,95
ली.,185
कटक,4
मूल,74
रुप,16
का.,41
रैफ,5
जेन,2
हनन,7
जाप,23
सनक,10
बदन,2
रुह,1
हां,31
जरा,21
शरद,75
फेल,20
दवा,27
बैन,74
गुड,22
सूट,15
भी.,33
मजा,22
मास,3
लाश,172
सटे,59
खेत,33
फैल,46
जता,25
कैप,4
आनी,5
भले,113
लाल,146
चमक,18
दाग,17
लें,31
गंध,4
मैट,3
लिव,15
जिम,24
से.,17
रजत,18
आलम,38
यूं,46
आशा,31
दही,5
ओवर,21
कहे,28
टूट,56
रेख,1
शूट,74
पोज,7
लाई,26
गति,28
रोड,116
रेल,162
डबल,30
चैक,3
सदन,100
माल,26
रपट,1
विा,1
गैर,71
ताज,25
भरा,43
अमर,37
गुल,16
रोष,10
खोल,61
आधी,35
आयु,16
हटा,60
यूज,49
मिड,18
एंड,111
मैच,139
वुड,3
कैच,11
औसत,33
रची,22
रेत,9
गटर,6
अता,4
ढाई,33
रुम,1
कोच,27
गोल,2
डेव,1
पाल,38
ओझा,9
सदर,20
अटक,11
लहर,28
पोल,85
दोष,10
माई,25
पवन,49
साध,14
नरम,16
यहा,3
खुल,40
लोक,43
जाम,27
कौर,30
घात,7
घोर,12
सता,6
यदि,131
रीच,2
ऋषि,82
जूझ,26
पुल,81
रूम,55
घाट,74
जहर,35
खोद,3
मूड,36
सईद,126
हरी,34
आदत,33
हवा,57
सभा,109
देन,10
दहल,8
खौफ,27
परे,7
कलम,16
कसम,9
फूल,15
जिद,5
सान,5
कदर,37
चेन,5
दबा,10
नाव,7
पैर,56
तैर,3
आधा,48
रुक,25
लोड,2
बहू,24
सेठ,19
बैग,54
मृत,34
जाल,29
भूख,26
जमा,127
बाग,89
करा,109
गैस,51
रखे,62
बोर,12
पाए,94
अली,151
रमा,11
जनक,9
एस.,9
पी.,37
धूल,25
बृज,2
बिल,111
लीग,19
ईनम,2
एनम,4
बहे,1
बीत,19
तरण,8
सघन,4
संत,28
शपथ,96
बैड,1
मैन,14
सहा,2
थके,3
फेस,10
पैक,12
नेल,19
टैग,23
फनी,24
मेड,9
दुआ,16
फंड,63
टोल,10
रेट,26
झूम,4
फुल,13
खूब,140
लोन,44
रिट,2
मनु,12
समन,22
सैम,3
फिट,31
अपर,13
पहल,43
माघ,1
ऋतु,12
कूक,1
कथा,9
नील,10
पाठ,15
शुभ,15
कला,23
योग,113
बुध,16
दशा,6
उबर,25
दशक,89
फील,12
परख,2
मूव,3
होन,2
चने,3
कमल,19
सिख,30
मात,35
सजी,13
झलक,23
पुट,2
मरे,13
दंश,3
झेल,28
पदक,52
तलब,17
ताल,7
ठोक,8
धुर,5
उदय,23
आये,18
यूथ,12
पते,7
रैम,44
बैक,19
भोज,7
धाम,7
दास,109
जफर,18
गयी,43
टेप,9
ठेठ,3
खाए,5
जात,2
सना,13
सदी,14
नाक,13
कान,40
शशि,60
कथन,2
सीख,20
जाट,63
मोल,7
तोल,1
अमन,14
आएं,18
लंच,17
पिक,3
छिन,4
हवस,26
लीक,47
भोर,1
लेह,7
उलझ,6
बेग,10
लैस,25
चौक,26
सबक,32
ढका,5
लेट,12
घना,7
घनी,4
घने,9
छाई,9
आमद,1
कलई,3
वीक,9
मचा,58
कोट,8
लटक,14
नदी,60
सकी,33
डंप,3
समर,8
सरल,6
ईगल,2
रैप,14
सुर,12
मीत,2
चरम,11
केट,5
औरत,15
भवन,75
वैध,13
वी.,11
ठेस,4
पटल,4
छाप,13
घटी,13
नमन,4
डाक,2
आर.,10
बमन,1
ओमी,1
शान,9
घेर,51
ऊना,19
इरम,10
एयर,75
विज,18
सेफ,11
तार,31
बढा,3
गाव,1
शिव,32
गाए,6
अजब,6
छीन,27
रूट,21
पंथ,1
रूस,51
डील,56
नमक,13
घोल,7
पेय,4
जूस,8
तरल,2
भरो,4
पान,20
जेब,13
शौक,22
हसन,12
ईशा,21
रचा,8
निक,34
रेज,12
लौट,64
गजल,13
सैफ,50
पीट,20
गेन,1
साख,11
उतर,41
घुल,1
रोग,15
मणि,4
बी.,3
यथा,1
गिल,24
झूल,4
जंग,103
आका,4
कोण,1
शंख,3
बीफ,31
वीर,24
बेच,24
हनी,16
सेन,12
जोस,11
फीस,22
जगत,47
नाग,9
नाउ,1
मि.,2
जैक,5
छाए,12
कैश,65
वैन,41
डरी,4
रमन,25
झरी,1
चखा,1
अवध,9
टीन,5
शेड,3
तमस,1
बुक,54
रवि,13
हजम,2
सनी,74
साय,9
वाह,5
अौर,1
लवर,1
चरस,2
वेब,49
पेज,39
आनन,3
आटा,5
वें,6
मो.,13
हुं,1
बेट,1
सकल,2
तरस,9
येन,4
और.,1
जैव,1
धूप,7
बिन,9
राई,2
रूख,18
पंप,17
एकल,7
खंड,4
बाप,11
है।,27
गई।,1
नये,20
तीर,9
डूब,20
छठा,6
हेड,41
धवन,36
तीस,24
बचे,21
कनु,4
बेन,14
उषा,4
खलल,5
तनु,2
रु.,49
सहज,13
साए,4
पेन,6
नशे,57
सन्,3
लीन,1
सुख,5
थेः,1
रईस,9
बैठ,29
ओपो,1
चिन,2
बटन,12
कीज,1
मोड,8
इशू,2
छाल,4
पके,2
राख,2
फटी,1
बीज,14
शहद,7
छान,6
भीख,7
गेम,41
डिश,7
सूप,4
फूड,37
शरण,23
भरत,7
टूक,5
हेग,2
लला,6
धुन,8
डटे,7
नमो,9
उपर,9
नंद,1
आदी,9
बाज,13
था।,6
मील,16
मदर,12
छाछ,1
आधे,27
सगी,5
जला,27
जली,16
पचा,3
अरब,51
आला,25
जोन,23
परम,2
मून,5
नहर,9
दाल,35
फेर,5
वाम,14
बूथ,18
कसर,11
बैच,10
हैः,5
माइ,1
सूद,31
पहन,26
अबू,29
कीं,6
टाल,16
खाट,2
गाई,2
आलू,5
बीस,23
बसा,11
गुण,19
कली,1
खीझ,2
बचा,49
दैन,2
परत,4
मधु,15
थलग,2
खेप,5
चाह,25
बुआ,9
सीज,11
हरा,11
सहन,1
कूट,8
जगन,21
भान,2
रोम,4
खां,11
शतक,7
घटा,10
रिच,1
नीम,9
भला,15
दूं,4
बसु,9
महल,20
शीश,6
लो.,5
रऊफ,1
आहट,9
रोस,5
चहल,8
टिम,7
ईडन,5
शमी,6
फुट,8
मेट,9
चुन,11
दूत,13
मकर,2
ओपी,10
मनि,1
जंप,4
रोप,4
फीट,8
ठगा,5
चेक,38
रास,12
टैप,4
पैन,5
ठोस,24
चिट,14
हेट,2
फेक,24
यमी,1
ईडी,52
अमल,23
नयी,11
शेर,14
पूल,4
रूल,10
जेट,40
डा.,2
सास,22
झील,5
लील,1
वहम,2
तंज,21
कतई,17
नाश,3
लकर,2
डोर,9
फेज,14
रहम,4
जमक,1
दबी,4
मेक,8
मीम,5
अणे,4
अबे,1
एबट,1
मची,17
कमर,19
गाज,7
दंग,16
तान,4
तैश,2
लात,6
बेल,18
होश,29
नगा,15
गुट,29
रनर,3
छुआ,3
सुन,22
रौब,3
लिख,27
पर.,15
भून,10
सवल,1
हटी,3
सैर,12
किम,79
आबे,10
जूम,4
दहन,2
.इस,2
बजा,11
थैक,1
नें,13
एके,11
शनि,19
हौज,6
धुत,14
कटा,8
अदब,4
थाह,1
सार,2
उमस,4
माय,5
लैब,13
लेड,1
को.,10
सीड,3
ढोल,3
नईम,5
पुर,1
भगा,6
इधर,22
खपत,12
चोर,57
जगे,1
पूछ,17
एटा,4
