halfLetter,frequency
त्,13592
व्,1533
स्,19387
प्,13012
क्,17198
ब्,2684
र्,26275
द्,5691
ज्,3389
ल्,9365
श्,4253
न्,9058
ध्,1843
च्,2174
ष्,2971
ग्,4423
म्,3147
ट्,6212
ख्,2354
ड्,1067
फ्,2954
भ्,227
थ्,260
ह्,183
ू्,3
ु्,6
ण्,73
य्,42
ठ्,10
घ्,43
ि्,5
झ्,1
ञ्,2
छ्,2
े्,1
उ्,1
ी्,1
