monogram,frequency
न,812
आ,1077
व,130
द,107
उ,2
ए,62
.,138
स,1
ऐ,6
ई,9
र,1
झ,1
ल,1
क,5
ओ,12
।,7
ब,3
ॐ,2
ज,1
ह,1
म,1
ं,1
अ,3
ख,1
