swar,frequency,probability
अ,479.0,0.4272970561998216
आ,128.0,0.11418376449598573
इ,212.0,0.18911685994647637
ई,3.0,0.0026761819803746653
उ,106.0,0.09455842997323818
ऊ,5.0,0.0044603033006244425
ए,153.0,0.13648528099910795
ऐ,3.0,0.0026761819803746653
ओ,1.0,0.0008920606601248885
औ,2.0,0.001784121320249777
अं,0.0,0.0
अः,0.0,0.0
ऋ,29.0,0.025869759143621766
