matra,frequency,probability
ा,2446.0,0.2041395426473043
ि,2162.0,0.18043732265064263
ी,813.0,0.06785177766649975
ु,1467.0,0.12243365047571357
ू,383.0,0.03196461358704724
े,1950.0,0.1627441161742614
ै,248.0,0.020697713236521448
ो,250.0,0.02086463027875146
ौ,127.0,0.010599232181605743
ं,799.0,0.06668335837088966
ः,123.0,0.010265398097145719
ँ,0.0,0.0
ृ,1214.0,0.10131864463361709
