digram,frequency
पर,28428
या,2103
का,30193
के,97008
को,46356
हो,9305
ने,41324
रख,250
एक,15970
से,40212
भी,19433
की,61071
कई,3762
तक,5188
इस,16169
ओर,1372
दी,3307
गई,4368
कि,27719
यह,6609
ये,5853
है,18311
कर,15113
जो,3592
तो,8550
आप,1770
वो,3354
कल,250
और,34163
जा,5423
ही,11475
गए,3141
ऐप,170
शी,44
था,3434
हल,71
अब,4563
घई,15
बन,780
उन,890
वह,4078
ला,108
घर,2367
बस,464
वे,2207
उस,1703
ले,1452
इन,2305
सब,632
आए,991
बल,245
चल,1168
वन,172
आज,1545
नई,731
दे,1454
ली,747
दो,2829
हम,1911
पा,266
सी,203
हर,1631
रस,24
कम,1550
लग,485
थी,1613
तय,694
एड,13
आई,1147
जब,3062
तब,967
आम,992
हद,101
शव,494
उप,86
ना,761
नौ,155
थे,1094
भर,409
ईद,76
बी,113
आग,438
शक,248
रन,254
मे,211
सर,70
मन,241
जन,63
सा,119
जी,664
ओम,80
टू,57
पद,609
रह,552
डर,275
डे,131
नए,851
रच,40
दम,189
लो,44
मर,48
दल,555
धन,131
दर,215
बम,188
टल,31
छह,368
लव,156
शो,1100
तह,11
मई,428
कब,144
कह,479
एन,33
ऐड,58
पथ,15
आर,85
एफ,10
दस,164
इज,30
जल,159
डी,67
सम,5
टब,3
धो,15
कप,163
जज,210
टच,37
फन,8
आठ,243
सौ,101
ई.,4
चक,2
उठ,72
तल,6
अप,48
तन,11
कफ,2
मत,115
कट,81
अल,60
गन,24
आस,29
रे,16
सो,82
पी,96
सच,211
मठ,15
यू,41
भा,9
तू,24
भय,25
जे,37
एस,98
हक,105
एम,54
छू,35
मच,114
वध,5
न.,16
लू,44
बज,17
कद,26
खो,61
सह,42
हफ,1
एल,17
थम,20
मऊ,12
हे,7
लत,26
एप,76
पब,43
रथ,38
बच,142
पल,65
घट,20
बढ,4
बह,20
गम,12
गत,25
डब,16
ठप,29
आय,132
थक,18
वी,32
रो,39
छा,18
जय,75
सई,6
खा,71
नो,27
हब,10
ओ.,6
आल,6
टी,42
गा,25
नन,24
नम,9
हट,34
मग,1
बे,8
मी,9
पो,6
धर,39
बग,2
ऐन,16
ऋण,30
झा,68
कस,16
डन,2
टन,38
शू,1
..,33
झट,6
लक,5
यस,15
गज,9
यी,1
रग,1
ढक,14
सज,4
रण,11
इव,2
तट,42
फल,35
लौ,6
घी,18
भू,2
रा,1
सन,19
ए.,17
एच,19
छठ,18
पे,25
बट,6
आफ,9
ठा,2
त।,1
आन,3
दौ,1
घन,2
ऐज,4
उग,2
कण,10
शट,1
छत,48
फट,15
आओ,6
शह,9
गौ,17
खस,2
जौ,4
गण,15
ब्,1
धम,1
डा,3
लय,5
वू,3
उल,17
जम,13
कश,1
जद,15
रब,2
ठग,25
रल,1
ऐश,7
खत,55
रफ,4
औप,2
दि,26
वश,3
नी,2
जस,10
तस,9
टफ,3
ढा,5
भट,20
नस,8
ते,1
पच,2
मै,2
बू,4
पक,3
भई,1
डू,2
डु,9
गो,35
डो,1
ओट,2
गं,1
मय,1
दब,5
यश,33
चे,1
डि,6
नं,2
दा,9
ईट,3
दह,1
नच,5
फी,3
ढो,1
शा,1
आध,3
गढ,1
जै,1
।।,1
तर,2
बा,3
लद,4
द.,22
सथ,2
छे,4
टु,3
हज,14
मध,1
छग,1
इल,6
रट,3
छप,2
वर,5
एज,19
गे,5
पग,5
जग,6
हू,3
तप,2
ड्,1
अन,2
उद,6
मं,1
ओड,2
यो,8
मल,5
नव,4
ढल,2
थ.,2
इट,3
जह,3
यु,3
हा,1
खम,1
ऊब,1
डल,2
डच,4
मड,1
पट,3
सः,1
गी,1
प.,4
आह,1
मि,1
नर,2
ेी,1
इश,1
बद,5
ढह,8
उर,3
शत,1
ईज,3
री,3
अभ,1
गर,5
वय,1
खल,1
टस,1
मस,1
गड,1
एग,3
आइ,1
ऐम,1
औक,2
वि,1
एट,4
ऊन,1
ईश,2
जू,1
मद,1
नल,2
भग,1
आव,1
फू,2
थल,7
छट,1
हए,3
जट,5
छल,1
जच,1
रम,1
ईच,2
ज.,5
टक,3
गल,3
जप,3
हई,1
शब,1
जि,1
चढ,1
ऐस,2
ओज,1
ची,1
ठन,2
गय,1
हं,1
ऊँ,3
पफ,1
हु,1
मू,1
खन,1
