matra,frequency
ा,773498.0
ि,347374.0
ी,407802.0
ु,125068.0
ू,55525.0
े,608553.0
ै,128487.0
ो,247654.0
ौ,19060.0
ं,349304.0
ः,505.0
ँ,99.0
ृ,3946.0
