ending,frequency
गई,1909
है,41315
की,1730
था,7727
थी,4890
हैं,17207
सकेंगे,89
देगी,89
हो,467
करेंगे,713
किया,2097
बताए,4
थे,3771
बनाया,84
हूं,701
चाहिए,1086
करूंगा,43
गया,2940
किए,158
मांगी,26
दी,1330
जाएगा,1107
जाएगी,571
गए,1392
हों,82
लगेगी,22
लें,136
करें,361
होगा,1193
सके,313
पहुंचे,215
थीं,650
करेंगी,83
आईं,68
दिखीं,23
नमस्कार....,1
मो,17
सकते,80
झुकना,1
आएगी,56
बदले,6
हुई,612
सका,63
दिया,2130
आया,171
रहे,441
रही,233
हुईं,63
आए,238
लिया,838
हुआ,667
लगे,177
जाए,466
गलत,2
सकें,104
आएंगी,113
हुए,258
गईं,166
पूछा,20
बीच,4
में,112
,445
प्रो,17
होगी,954
होंगे,451
रहेगी,98
जरूरी,5
के,76
तोहफा,1
लगाएगी,3
मिलेगा,222
दिखेगा,8
आएगा,91
रहेगा,171
रहेंगी,29
डरूंगा,1
देंगे,220
गिरी,7
हैं..,45
नहीं,457
होता,91
आता,15
आएंगे,241
जीते,22
हारी,2
निभाए,2
लगा,159
चाहतीं,6
बचाएंगे,1
लगाते,1
बताया,165
रहें,67
लिए,108
उठाओ,2
रचाई,4
नाम,6
करे,109
करेगा,198
सकता,179
हटाया,4
साजिश,1
करवाया,23
उठा,23
गये,20
जाये,7
भेजेगा,3
भेजते,2
चाहते,28
ली,340
निकली,28
होंगी,94
रहा,361
दिखे,54
जे,9
देगा,95
चाहेगा,5
का,70
राज,8
पुराना,2
मिलेंगी,7
मिलेगी,132
तवज्जो,1
पार्टियां,2
बोला,56
आती,12
जाएंगी,70
रहता,8
ले,27
रोकी,5
देते,24
हराया,32
केकेआर,1
जाएंगे,332
रहेंगे,152
ओर,2
आर.पी.एन,3
जोनस,1
इसलिए..,1
आग,1
लगी,133
लेगी,29
चली,23
मिला,232
आई,148
खुला,16
पाएंगे,99
छुट्टी,2
सकेगा,71
छात्रा,1
पहुंची,108
गांव,1
