monogram,frequency
आ,2270
न,1566
ए,117
.,306
द,240
व,379
अ,13
उ,1
।,23
ई,27
ग,2
ह,4
ओ,15
छ,1
ट,2
ब,7
औ,6
घ,9
ख,2
थ,1
क,10
ऐ,2
ा,1
र,1
य,1
इ,1
