halfLetter,frequency
र्,56333
क्,37775
ख्,5100
न्,19434
ज्,7155
प्,28283
स्,40596
थ्,612
ध्,4162
ट्,13504
ब्,5529
च्,5333
श्,9097
त्,29273
ष्,6320
ल्,19101
द्,11953
म्,6386
ड्,2364
व्,3355
ग्,9896
फ्,6054
भ्,499
ह्,478
ण्,165
य्,76
घ्,79
ठ्,45
उ्,1
ु्,13
ी्,2
ू्,7
छ्,3
े्,2
ि्,24
ै्,3
ृ्,2
ढ्,4
झ्,5
ङ्,1
