swar,frequency
अ,62385.0
आ,56507.0
इ,57306.0
ई,39158.0
उ,45228.0
ऊ,1620.0
ए,85675.0
ऐ,5589.0
ओ,8498.0
औ,34595.0
अं,4179.0
अः,0.0
ऋ,401.0
