monogram,frequency,probability
च,185,0.48812664907651715
स,57,0.1503957783641161
य,5,0.013192612137203167
व,1,0.002638522427440633
न,129,0.3403693931398417
त,1,0.002638522427440633
ह,1,0.002638522427440633
