swar,frequency,probability
अ,190.0,0.4222222222222222
आ,45.0,0.1
इ,59.0,0.13111111111111112
ई,5.0,0.011111111111111112
उ,70.0,0.15555555555555556
ऊ,3.0,0.006666666666666667
ए,73.0,0.1622222222222222
ऐ,1.0,0.0022222222222222222
ओ,1.0,0.0022222222222222222
औ,0.0,0.0
अं,0.0,0.0
अः,0.0,0.0
ऋ,3.0,0.006666666666666667
