ending,frequency
है,7547
हैं,2822
दिया,447
गया,560
दिखा,3
था,1495
थीं,121
गयी,6
दिखीं,1
चाहिए,178
रखेगी,4
की,252
लिया,164
होता,11
दी,272
कहा,16
किया,355
कराया,12
थे,653
जताएंगे,1
गए,254
गिरी,1
उठाए,5
बताया,52
आई,33
रहे,81
जाएगा,218
करो,7
बनाए,10
होगी,163
गई,355
आए,43
जाए,90
पूछा,5
थी,921
दिक्कतें,2
बनाएं,4
,80
लें,32
करें,88
डलवाएं,1
दें,23
खरीदें,1
रोका,2
लगाया,15
रुकी,2
कराई,9
रही,56
जिला,2
परेशान,1
खुर्द,1
मिली,38
से,7
पाएगा,9
वजह.,1
ली,52
पहुंचे,31
भिजवाया,2
मुआवजा,1
प्रावधान,1
सकेगा,16
रहेगा,23
हैं..,8
हूं..,1
बने,13
हुआ,106
हुई,132
जीता,4
हराया,3
पाए,14
वी,2
रहेंगे,20
हूं,95
होती,12
आऊंगी,1
होगा,191
मांगी,6
जरुर,1
मिला,41
जाना,3
जाएं,21
लिए,17
घुसे,1
भागे,3
भगाया,1
पोस्टर,1
आलिया,1
तैयार,1
निभाएंगी,1
देखा,16
दिखेंगे,5
मिलेगा,46
रची,2
पाएंगे,12
डाली,7
लगे,48
लगा,30
दीं,7
पाया,17
दिए,41
नहीं,56
माया,1
ढही,1
कारोबारी,1
जाये,1
लिखे,1
आया,23
बोलें,1
बोले,1
हो,64
नं,1
आएंगी,15
घुमाया,2
चलेगी,6
सकते,23
सके,56
जाएगी,113
कहने,1
है..,15
मांगा,7
लगीं,8
निकलीं,2
करे,24
दे,6
रु,11
में,23
जीत,1
आएंगे,46
सका,12
गईं,25
करेंगी,22
मिले,24
बताएंगे,2
थकेंगे,1
करेंगे,120
को,7
जाएंगे,59
लगेगा,4
चुना,4
मिलेगी,25
पहुचें,1
बुलाया,11
बजे,3
सकें,22
भेजेंगे,2
धवन,1
बचें..,1
सोएं,1
पिएं,1
खाएं,2
गूंजी,1
दिखी,3
नहीं..,2
सरोकार,1
पर्सेंट,1
मिलता,5
क्या,8
देंगे,34
सकता,36
लम्बी,1
जाऊं,1
मिस्टेक्स,1
मचा,1
नम्बर,1
कहेंगे,2
गुजरे,1
कटती,1
पिया,1
करती,2
पाती,3
पूछती,1
लिखती,1
पता,3
देना,1
लो,3
तो,1
जाओ,3
बाली,1
सोनाली,1
लगी,22
रहा,64
छपेगा,1
कौन,2
पोल,3
सकेंगे,13
जाएंगी,5
बी,1
एस,8
मनाएंगे,1
पूछो,1
डाले,6
चला,9
डाला,23
चाहेगी,1
ध्यान..,1
बिछाएं,1
मांगे,1
बहाएं,1
सामने,2
कहीं,2
फहराएंगे,2
देखी,7
देगी,18
लौटा,1
शो,1
दिखेंगी,2
कीं,10
.,9
रखी,7
हुए,64
चटकाए,1
खबरें..,1
खोला,5
जाइए,3
दबोचा,7
भी,10
खिलाएं,1
बनाएंगे,6
मचाया,7
लौटे,9
रखे,3
चाहिये,3
फंसे,1
दोहराई,3
सकतीं,5
उठाया,16
गिरे,2
रहेंगी,7
बातें,4
पहुंचा,6
करता,4
रखतीं,1
आएगी,9
सौगात,1
करेगी,36
फैसला,2
चाहता,2
जांच,1
रिलीज,1
वीडियो,2
इंच,1
टीजर,1
घटी,1
आएगा,15
निकला,4
भेजा,7
चलेगा,12
आगे..,1
तुरंत,1
चलें,2
चूमें,1
जाऐंगे,1
पहुंचेंगे,6
पहनें,3
ट्रांसपेरेंट,1
घरवाले,1
सकी,13
मारा,11
करेगा,36
सकती,13
सुनाया,11
रखूंगी,3
सुनेगी,1
पहुंचेगी,5
चाहा,1
होंगे,69
निभाएं,1
सोचेगी,1
खबर,2
दूंगा,6
लुटायेगा,1
जाती,4
करते,9
निकले,11
होंगी,10
देगा,12
एन,2
सोचें,1
लगाए,13
चलाई,4
सिखाई,1
हिचकिचाते,1
लोग,1
दास्तां,2
हों,23
बनाई,14
लिखा,3
करवाया,4
के,20
गौरा,1
ही,1
लीजिए,7
बदला,3
रोको,1
बांटा,1
दम,1
चाहते,3
जातीं,1
लगती,1
आईं,10
पीटा,3
क्वीन..,1
लगें,1
हारी,2
करतीं,5
लेंगी,1
रहीं,6
दिखाया,4
रहेगी,14
बताती,1
एस.एस,1
चली,5
बची,2
खासियतें.,2
किमी,11
गुजरेगी,1
स्टेशन,1
लें..,1
लेंगे,10
सरकार,2
पर,6
मोर्चा,1
प्रो,3
चाहती,7
किए,23
भूलेंगे,1
अपनाया,1
निकाला,7
लपके,1
गिरेंगे,1
निभाएंगे,1
मुकरेंगे,1
पी,4
एल,3
कप,2
सांत्वना,1
माना,4
जी.एल,1
डी.जी,1
छीने,1
रखा,16
मिलवाया,1
बैठे,3
थमाया,1
बनाया,8
निभाया,2
सिमटी,3
खेली,5
झटका,1
झटके,5
चूके,1
ठोके,1
यादव,1
एंडरसन,1
मारें,1
पूजा..,1
घोटाला,1
सौंपी,2
फिल्म,2
मुस्कुराया,1
लगाम,1
नाेट,1
रुपया,1
पुलिस,1
एव्रीवन,1
ठहराएं,1
आभार,1
भेजेगा,1
दिलाई,6
थमा,1
टकराई,1
रन,1
