halfLetter,frequency
ग्,1737
क्,6616
ल्,3314
र्,10244
प्,5130
स्,7321
ड्,452
फ्,1269
ध्,721
ब्,1017
त्,5161
ज्,1270
व्,648
ख्,838
द्,2205
श्,1596
ष्,1161
ट्,2443
न्,3439
म्,1194
च्,867
य्,28
थ्,118
घ्,15
भ्,96
ण्,36
ह्,51
ि्,14
ठ्,7
ढ्,1
ु्,2
झ्,3
ै्,1
