swar,frequency
अ,11378.0
आ,9678.0
इ,10374.0
ई,7131.0
उ,8477.0
ऊ,262.0
ए,15026.0
ऐ,1053.0
ओ,1481.0
औ,6183.0
अं,705.0
अः,0.0
ऋ,90.0
