matra,frequency
ा,138384.0
ि,62547.0
ी,72318.0
ु,22342.0
ू,9925.0
े,108774.0
ै,22759.0
ो,44070.0
ौ,3505.0
ं,61746.0
ः,84.0
ँ,11.0
ृ,690.0
