monogram,frequency
न,1156
आ,1719
ज,1
ऐ,3
व,252
.,229
ए,83
द,162
ह,3
म,1
ओ,15
ं,1
ई,10
ब,5
क,6
अ,7
ख,3
।,17
उ,1
ग,1
छ,1
ट,2
औ,4
घ,8
थ,1
